SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,UT,49,,,,,04000US49,Utah,2948427,2572595,32512,31686,66039,26411,141374,77810,12791,65019,2643710,47984,51286,93729,41349,155637,31686,27569,372,160,157,19,27,743,104,119,143,318,2,50,40,73,44,0,258,8,251,15,0,0,880,15406,20,16,1025,10,87,101,0,0,522,779,501,42,173,3871,0,62,94,1077,489,483,32,30,69,157,50,145,0,2287,858,66039,8632,260,646,1878,2248,13240,6804,80,339,6883,6332,2661,97,297,2257,71,577,72,591,1662,7840,0,554,2018,26411,2157,8891,11108,297,348,1023,316,302,0,381,1588,53052,44789,1188,201,697,142,27,4426,148,220,581,1024,2,70,198,188,48,34,364,16,468,17,12,21,1380,19539,48,16,1273,35,247,450,40,18,1319,1799,690,98,173,4757,0,145,102,2568,1227,790,52,30,348,157,50,153,10,6236,98199,9967,268,646,1970,2845,20152,13708,101,728,14893,9192,3641,124,340,2269,164,1010,79,831,2840,9556,59,2816,44569,7643,14191,15931,1458,773,1073,519,553,0,2428,2948427,2870617,2572595,32512,31686,66039,26411,141374,77810,12791,65019,71114,11141,14466,19974,707,24826,6100,596
40,UT,49,,,,,04001US49,Utah -- Urban,2669353,2316452,31077,21074,64011,25902,136972,73865,12186,61679,2383982,45886,39230,90566,40237,150572,21074,17433,365,135,153,10,27,707,97,78,109,315,0,48,29,57,35,0,253,8,241,15,0,0,863,8549,20,16,828,0,87,74,0,0,351,744,501,42,160,1346,0,62,94,1014,426,466,29,30,55,157,50,145,0,2096,653,64011,8192,260,646,1838,2226,12894,6430,80,314,6608,6051,2628,97,295,2257,71,577,72,553,1649,7748,0,552,1973,25902,2085,8727,10930,283,348,995,275,302,0,369,1588,40762,33084,1079,168,661,133,27,4091,138,179,539,942,0,64,170,172,39,34,359,16,442,17,12,21,1351,12329,21,16,1046,25,233,396,40,15,1018,1687,675,98,160,1985,0,145,102,2439,1097,759,43,30,334,157,50,145,10,5812,94882,9461,268,646,1930,2823,19588,13075,101,703,14346,8722,3498,124,338,2269,119,1003,79,793,2824,9404,59,2709,43416,7309,13932,15675,1444,764,1045,469,553,0,2225,2669353,2595488,2316452,31077,21074,64011,25902,136972,73865,12186,61679,67329,10666,13192,19145,654,23672,5957,579
40,UT,49,,,,,04043US49,Utah -- Rural,279074,256143,1435,10612,2028,509,4402,3945,605,3340,259728,2098,12056,3163,1112,5065,10612,10136,7,25,4,9,0,36,7,41,34,3,2,2,11,16,9,0,5,0,10,0,0,0,17,6857,0,0,197,10,0,27,0,0,171,35,0,0,13,2525,0,0,0,63,63,17,3,0,14,0,0,0,0,191,205,2028,440,0,0,40,22,346,374,0,25,275,281,33,0,2,0,0,0,0,38,13,92,0,2,45,509,72,164,178,14,0,28,41,0,0,12,0,12290,11705,109,33,36,9,0,335,10,41,42,82,2,6,28,16,9,0,5,0,26,0,0,0,29,7210,27,0,227,10,14,54,0,3,301,112,15,0,13,2772,0,0,0,129,130,31,9,0,14,0,0,8,0,424,3317,506,0,0,40,22,564,633,0,25,547,470,143,0,2,0,45,7,0,38,16,152,0,107,1153,334,259,256,14,9,28,50,0,0,203,279074,275129,256143,1435,10612,2028,509,4402,3945,605,3340,3785,475,1274,829,53,1154,143,17
40,UT,49,,,,,040A0US49,Utah -- In metropolitan or micropolitan statistical area,2804460,2445503,32039,22290,65302,25969,137554,75803,12535,63268,2514751,47189,40884,92697,40597,151551,22290,18564,367,152,123,10,27,695,99,119,141,318,0,50,29,62,35,0,258,8,241,15,0,0,873,7846,20,0,858,0,87,94,0,0,443,753,501,42,167,2982,0,62,94,993,488,466,32,30,55,157,50,142,0,2019,753,65302,8444,260,646,1838,2233,13108,6729,80,339,6770,6258,2646,97,297,2254,71,577,72,588,1654,7777,0,552,2012,25969,2077,8747,10990,278,348,1019,301,272,0,349,1588,42516,34671,1173,185,631,133,27,4199,143,212,563,802,0,70,170,177,39,34,364,16,431,17,12,21,1360,11649,48,0,1085,25,247,442,40,18,1213,1722,686,98,167,3757,0,145,94,2456,1191,773,52,30,334,157,50,150,10,5871,97140,9779,268,646,1930,2830,20005,13593,101,728,14671,9095,3524,124,340,2266,164,1001,79,828,2832,9481,59,2796,43806,7464,13938,15745,1431,773,1069,495,523,0,2368,2804460,2728657,2445503,32039,22290,65302,25969,137554,75803,12535,63268,69155,10952,13545,19714,674,24270,6056,592
40,UT,49,,,,,040C0US49,Utah -- In metropolitan statistical area,2632764,2286982,31084,18077,63632,25736,134876,72377,11948,60429,2353199,45533,35250,90029,40083,148198,18077,14975,321,152,71,10,27,639,98,78,123,315,0,50,29,49,35,0,258,8,241,15,0,0,853,7413,20,0,581,0,87,80,0,0,373,702,501,42,167,657,0,62,46,872,383,299,29,30,55,135,50,0,0,1774,646,63632,8354,260,646,1838,2163,12657,6508,80,339,6430,5924,2594,62,295,2254,71,577,72,588,1654,7724,0,544,1998,25736,1977,8653,10965,276,348,1019,289,272,0,349,1588,36751,29703,1112,185,571,133,27,3862,142,171,510,700,0,70,159,164,39,34,364,16,423,17,12,21,1299,10902,48,0,783,25,222,423,40,15,1042,1504,686,98,167,1244,0,145,46,2282,1029,600,43,30,334,135,50,8,10,5409,94323,9631,268,646,1930,2733,19290,13156,101,665,14054,8530,3472,89,338,2266,164,994,79,828,2832,9410,59,2788,43266,7202,13818,15716,1429,773,1069,483,523,0,2253,2632764,2560387,2286982,31084,18077,63632,25736,134876,72377,11948,60429,65938,10518,12456,18987,479,23498,5867,572
40,UT,49,,,,,040C1US49,Utah -- In metropolitan statistical area -- in principal city,643879,532857,10156,5705,20149,8278,46630,20104,2667,17437,550879,14155,10961,27882,12217,49663,5705,4298,46,10,32,0,10,345,31,46,12,157,0,44,0,0,0,0,167,0,116,0,0,0,365,2005,20,0,231,0,58,39,0,0,111,60,11,0,7,120,0,0,0,255,213,166,0,12,19,135,0,0,0,750,278,20149,2278,260,0,1333,166,5161,1597,42,157,1976,2754,627,0,199,353,0,225,57,301,568,1441,0,267,387,8278,563,2372,3829,51,45,537,41,52,0,187,601,11528,9116,355,10,220,28,10,1243,62,86,116,259,0,44,7,25,4,0,236,8,188,0,0,13,570,3135,20,0,240,0,101,86,40,6,249,460,72,24,7,285,0,28,0,879,294,350,0,12,203,135,0,0,0,1768,28953,2628,260,0,1418,346,6920,3334,42,410,4442,3316,798,9,234,353,41,273,57,374,859,1859,59,921,13451,2444,4117,4936,358,290,587,48,52,0,619,643879,623775,532857,10156,5705,20149,8278,46630,20104,2667,17437,18453,2743,3986,5676,187,5861,1536,115
40,UT,49,,,,,040C2US49,Utah -- In metropolitan statistical area -- not in principal city,1988885,1754125,20928,12372,43483,17458,88246,52273,9281,42992,1802320,31378,24289,62147,27866,98535,12372,10677,275,142,39,10,17,294,67,32,111,158,0,6,29,49,35,0,91,8,125,15,0,0,488,5408,0,0,350,0,29,41,0,0,262,642,490,42,160,537,0,62,46,617,170,133,29,18,36,0,50,0,0,1024,368,43483,6076,0,646,505,1997,7496,4911,38,182,4454,3170,1967,62,96,1901,71,352,15,287,1086,6283,0,277,1611,17458,1414,6281,7136,225,303,482,248,220,0,162,987,25223,20587,757,175,351,105,17,2619,80,85,394,441,0,26,152,139,35,34,128,8,235,17,12,8,729,7767,28,0,543,25,121,337,0,9,793,1044,614,74,160,959,0,117,46,1403,735,250,43,18,131,0,50,8,10,3641,65370,7003,8,646,512,2387,12370,9822,59,255,9612,5214,2674,80,104,1913,123,721,22,454,1973,7551,0,1867,29815,4758,9701,10780,1071,483,482,435,471,0,1634,1988885,1936612,1754125,20928,12372,43483,17458,88246,52273,9281,42992,47485,7775,8470,13311,292,17637,4331,457
40,UT,49,,,,,040E0US49,Utah -- In micropolitan statistical area,171696,158521,955,4213,1670,233,2678,3426,587,2839,161552,1656,5634,2668,514,3353,4213,3589,46,0,52,0,0,56,1,41,18,3,0,0,0,13,0,0,0,0,0,0,0,0,20,433,0,0,277,0,0,14,0,0,70,51,0,0,0,2325,0,0,48,121,105,167,3,0,0,22,0,142,0,245,107,1670,90,0,0,0,70,451,221,0,0,340,334,52,35,2,0,0,0,0,0,0,53,0,8,14,233,100,94,25,2,0,0,12,0,0,0,0,5765,4968,61,0,60,0,0,337,1,41,53,102,0,0,11,13,0,0,0,0,8,0,0,0,61,747,0,0,302,0,25,19,0,3,171,218,0,0,0,2513,0,0,48,174,162,173,9,0,0,22,0,142,0,462,2817,148,0,0,0,97,715,437,0,63,617,565,52,35,2,0,0,7,0,0,0,71,0,8,540,262,120,29,2,0,0,12,0,0,115,171696,168270,158521,955,4213,1670,233,2678,3426,587,2839,3217,434,1089,727,195,772,189,20
40,UT,49,,,,,040E1US49,Utah -- In micropolitan statistical area -- in principal city,70452,64649,307,1069,793,164,1619,1851,382,1469,66396,481,1705,1464,365,2032,1069,859,44,0,40,0,0,30,0,0,18,0,0,0,0,13,0,0,0,0,0,0,0,0,0,293,0,0,215,0,0,0,0,0,4,32,0,0,0,68,0,0,0,102,22,22,0,0,0,22,0,0,0,166,0,793,52,0,0,0,14,211,137,0,0,73,207,38,35,0,0,0,0,0,0,0,9,0,8,9,164,94,57,12,1,0,0,0,0,0,0,0,1727,1433,49,0,48,0,0,151,0,0,45,90,0,0,11,13,0,0,0,0,8,0,0,0,0,350,0,0,225,0,7,0,0,0,4,184,0,0,0,104,0,0,0,144,52,22,0,0,0,22,0,0,0,220,1580,97,0,0,0,41,403,278,0,63,219,389,38,35,0,0,0,0,0,0,0,9,0,8,365,243,70,12,1,0,0,0,0,0,39,70452,68601,64649,307,1069,793,164,1619,1851,382,1469,1718,122,583,506,7,500,126,7
40,UT,49,,,,,040E2US49,Utah -- In micropolitan statistical area -- not in principal city,101244,93872,648,3144,877,69,1059,1575,205,1370,95156,1175,3929,1204,149,1321,3144,2730,2,0,12,0,0,26,1,41,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,140,0,0,62,0,0,14,0,0,66,19,0,0,0,2257,0,0,48,19,83,145,3,0,0,0,0,142,0,79,107,877,38,0,0,0,56,240,84,0,0,267,127,14,0,2,0,0,0,0,0,0,44,0,0,5,69,6,37,13,1,0,0,12,0,0,0,0,4038,3535,12,0,12,0,0,186,1,41,8,12,0,0,0,0,0,0,0,0,0,0,0,0,61,397,0,0,77,0,18,19,0,3,167,34,0,0,0,2409,0,0,48,30,110,151,9,0,0,0,0,142,0,242,1237,51,0,0,0,56,312,159,0,0,398,176,14,0,2,0,0,7,0,0,0,62,0,0,175,19,50,17,1,0,0,12,0,0,76,101244,99669,93872,648,3144,877,69,1059,1575,205,1370,1499,312,506,221,188,272,63,13
40,UT,49,,,,,040G0US49,Utah -- Not in metropolitan or micropolitan statistical area,143967,127092,473,9396,737,442,3820,2007,256,1751,128959,795,10402,1032,752,4086,9396,9005,5,8,34,9,0,48,5,0,2,0,2,0,11,11,9,0,0,0,10,0,0,0,7,7560,0,16,167,10,0,7,0,0,79,26,0,0,6,889,0,0,0,84,1,17,0,0,14,0,0,3,0,268,105,737,188,0,0,40,15,132,75,0,0,113,74,15,0,0,3,0,0,0,3,8,63,0,2,6,442,80,144,118,19,0,4,15,30,0,32,0,10536,10118,15,16,66,9,0,227,5,8,18,222,2,0,28,11,9,0,0,0,37,0,0,0,20,7890,0,16,188,10,0,8,0,0,106,77,4,0,6,1000,0,0,8,112,36,17,0,0,14,0,0,3,0,365,1059,188,0,0,40,15,147,115,0,0,222,97,117,0,0,3,0,9,0,3,8,75,0,20,763,179,253,186,27,0,4,24,30,0,60,143967,141960,127092,473,9396,737,442,3820,2007,256,1751,1959,189,921,260,33,556,44,4
40,UT,49,,,,,040H0US49,Utah -- Not in metropolitan statistical area,315663,285613,1428,13609,2407,675,6498,5433,843,4590,290511,2451,16036,3700,1266,7439,13609,12594,51,8,86,9,0,104,6,41,20,3,2,0,11,24,9,0,0,0,10,0,0,0,27,7993,0,16,444,10,0,21,0,0,149,77,0,0,6,3214,0,0,48,205,106,184,3,0,14,22,0,145,0,513,212,2407,278,0,0,40,85,583,296,0,0,453,408,67,35,2,3,0,0,0,3,8,116,0,10,20,675,180,238,143,21,0,4,27,30,0,32,0,16301,15086,76,16,126,9,0,564,6,49,71,324,2,0,39,24,9,0,0,0,45,0,0,0,81,8637,0,16,490,10,25,27,0,3,277,295,4,0,6,3513,0,0,56,286,198,190,9,0,14,22,0,145,0,827,3876,336,0,0,40,112,862,552,0,63,839,662,169,35,2,3,0,16,0,3,8,146,0,28,1303,441,373,215,29,0,4,36,30,0,175,315663,310230,285613,1428,13609,2407,675,6498,5433,843,4590,5176,623,2010,987,228,1328,233,24
50,UT,49,001,,,,05000US49001,"Beaver County, Utah",6437,6218,9,5,15,0,176,14,9,5,6232,9,10,15,0,185,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6437,6423,6218,9,5,15,0,176,14,9,5,14,0,5,0,0,9,0,0
50,UT,49,003,,,,05000US49003,"Box Elder County, Utah",51528,48153,185,553,466,41,1209,921,143,778,48970,358,769,821,341,1366,553,289,12,0,0,0,0,5,4,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,15,3,9,4,0,0,0,0,0,45,50,2,0,0,2,0,0,0,0,88,124,466,59,0,0,0,151,27,68,0,0,79,43,0,0,0,0,0,0,0,0,30,0,0,8,1,41,4,0,7,0,0,10,20,0,0,0,0,893,713,13,0,6,0,0,85,4,0,9,10,0,0,0,0,0,0,12,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,109,6,9,4,0,27,0,0,0,80,88,2,0,0,2,0,0,0,0,90,958,128,0,0,0,151,103,91,0,0,249,96,3,0,0,0,0,0,0,0,87,27,0,23,341,140,0,83,0,0,10,20,0,0,88,51528,50607,48153,185,553,466,41,1209,921,143,778,745,75,172,175,10,313,176,0
50,UT,49,005,,,,05000US49005,"Cache County, Utah",118824,107139,954,584,2738,407,4560,2442,444,1998,109462,1220,1326,3685,704,5155,584,518,0,0,15,0,0,21,0,10,0,0,0,32,8,0,0,0,0,0,0,0,0,0,7,349,0,0,36,0,0,14,0,0,5,1,0,0,7,3,0,0,7,3,0,0,0,0,0,0,0,0,0,8,58,2738,416,19,0,495,211,653,196,0,10,208,176,146,0,0,39,55,0,0,34,22,29,0,6,23,407,44,57,108,11,0,187,0,0,0,0,0,1394,1021,16,20,73,7,0,101,0,10,19,0,0,34,8,0,0,14,0,0,4,0,0,0,45,531,0,0,41,0,0,14,0,0,5,2,0,0,7,13,0,0,7,50,8,0,0,0,0,0,0,0,0,365,3748,461,19,0,495,224,840,472,0,10,513,252,162,0,0,39,55,0,0,34,58,44,0,70,704,215,110,174,11,7,187,0,0,0,0,118824,116382,107139,954,584,2738,407,4560,2442,444,1998,2156,101,553,818,7,677,286,0
50,UT,49,007,,,,05000US49007,"Carbon County, Utah",20733,19159,183,151,128,27,586,499,188,311,19444,379,392,203,40,779,151,124,33,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,23,0,128,7,0,0,0,0,0,23,0,0,9,42,38,0,0,0,0,0,0,0,0,9,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,392,355,38,0,0,0,0,14,0,41,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,212,0,0,0,0,0,14,0,3,8,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,33,203,7,0,0,0,0,5,34,0,0,33,52,38,0,0,0,0,7,0,0,0,27,0,0,40,0,40,0,0,0,0,0,0,0,0,20733,20234,19159,183,151,128,27,586,499,188,311,494,3,38,59,193,201,5,0
50,UT,49,009,,,,05000US49009,"Daggett County, Utah",751,732,0,6,0,0,0,13,0,13,745,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,738,732,0,6,0,0,0,13,0,13,13,0,13,0,0,0,0,0
50,UT,49,011,,,,05000US49011,"Davis County, Utah",329292,294509,4264,1544,6285,2156,10501,10033,2571,7462,303725,6357,3642,9974,3131,13156,1544,1164,40,10,0,0,0,102,0,10,11,0,0,9,0,13,0,0,53,8,10,0,0,0,59,445,0,0,15,0,0,10,0,0,35,254,12,0,0,22,0,8,0,38,6,33,15,18,0,0,0,0,0,318,23,6285,213,0,0,31,157,930,1587,21,36,1023,575,328,0,54,0,0,28,0,35,367,519,0,14,367,2156,207,846,506,38,158,47,84,180,0,64,26,3777,3034,55,10,137,0,0,613,0,14,119,22,0,9,3,25,0,0,74,8,31,0,0,0,142,885,1,0,32,0,0,10,23,9,222,297,32,24,0,48,0,24,0,165,91,33,15,18,0,0,0,0,0,619,10473,344,0,0,38,166,1744,2294,42,36,2151,1086,501,0,66,0,7,232,0,35,681,799,0,251,3183,587,1229,640,76,200,47,84,197,0,123,329292,319259,294509,4264,1544,6285,2156,10501,10033,2571,7462,9449,1285,1559,2955,21,3629,508,76
50,UT,49,013,,,,05000US49013,"Duchesne County, Utah",20078,18165,33,923,93,77,460,327,25,302,18479,98,1124,139,97,491,923,859,0,6,2,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,69,0,16,4,10,0,0,0,0,31,0,0,0,6,697,0,0,0,10,0,0,0,0,0,0,0,0,0,56,8,93,0,0,0,0,0,25,38,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,6,77,0,6,26,0,0,0,15,30,0,0,0,1153,1048,0,6,15,3,0,11,0,0,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,104,0,16,4,10,0,0,0,0,48,0,4,0,6,778,0,0,8,26,23,0,0,0,0,0,0,0,0,82,163,0,0,0,0,0,25,62,0,0,57,0,0,0,0,0,0,0,0,0,3,0,0,16,97,0,6,26,0,0,0,24,30,0,11,20078,19751,18165,33,923,93,77,460,327,25,302,304,34,171,46,13,40,23,0
50,UT,49,015,,,,05000US49015,"Emery County, Utah",10570,10303,17,54,160,3,7,26,4,22,10326,17,60,176,6,11,54,54,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,60,56,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,179,157,0,0,0,0,0,3,0,0,3,13,0,0,0,0,0,0,0,3,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,10570,10544,10303,17,54,160,3,7,26,4,22,26,0,6,13,0,7,0,0
50,UT,49,017,,,,05000US49017,"Garfield County, Utah",5020,4764,32,51,31,34,20,88,0,88,4852,32,82,31,91,20,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,34,0,14,14,2,0,0,0,0,0,4,0,82,77,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,91,0,14,71,2,0,0,0,0,0,4,5020,4932,4764,32,51,31,34,20,88,0,88,88,0,31,0,0,57,0,0
50,UT,49,019,,,,05000US49019,"Grand County, Utah",9428,9159,24,131,45,8,51,10,10,0,9169,24,131,45,8,61,131,131,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,14,0,0,0,5,23,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,131,131,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,14,0,0,0,5,23,0,0,0,3,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,9428,9418,9159,24,131,45,8,51,10,10,0,10,0,0,0,0,10,0,0
50,UT,49,021,,,,05000US49021,"Iron County, Utah",47751,43623,342,1235,332,127,1069,1023,141,882,44599,652,1450,693,237,1224,1235,837,11,0,12,0,0,12,1,0,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,319,0,0,277,0,0,0,0,0,8,1,0,0,0,16,0,0,48,106,93,160,0,0,0,18,0,142,0,137,8,332,22,0,0,0,14,85,47,0,0,127,23,14,0,0,0,0,0,0,0,0,0,0,0,0,127,94,19,12,2,0,0,0,0,0,0,0,1466,1021,11,0,20,0,0,63,1,0,26,0,0,0,0,8,0,0,0,0,8,0,0,0,0,343,0,0,283,0,0,0,0,0,8,2,0,0,0,52,0,0,48,148,123,160,0,0,0,18,0,142,0,162,737,53,0,0,0,41,216,116,0,0,224,73,14,0,0,0,0,0,0,0,0,0,0,0,237,201,19,12,2,0,0,0,0,0,3,47751,46728,43623,342,1235,332,127,1069,1023,141,882,942,286,205,257,0,194,81,0
50,UT,49,023,,,,05000US49023,"Juab County, Utah",10507,9928,26,71,26,17,290,149,5,144,10077,39,151,47,60,295,71,64,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,53,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,14,0,0,0,0,158,158,11,0,0,0,0,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,60,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,13,10,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,60,43,0,3,0,0,0,14,0,0,0,10507,10358,9928,26,71,26,17,290,149,5,144,136,13,80,8,0,35,13,0
50,UT,49,025,,,,05000US49025,"Kane County, Utah",7216,6731,16,54,9,0,115,291,22,269,7022,28,250,9,61,141,54,47,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,257,239,0,0,30,0,0,11,0,0,0,163,0,0,0,0,0,0,0,0,14,0,0,0,0,11,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,61,61,0,0,0,0,0,0,0,0,0,7216,6925,6731,16,54,9,0,115,291,22,269,287,12,192,0,0,83,4,0
