SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,IL,17,,,,,04000US17,Illinois,12851684,9270907,1837612,29399,655799,4186,753559,300222,60418,239804,9527064,1968530,95706,748729,13854,818644,29399,16100,615,32,517,155,100,3041,50,43,1532,790,7,108,91,207,12,27,13,17,376,124,123,183,4234,347,22,49,18,15,248,162,5,61,15,999,556,299,23,46,0,44,10,784,1974,327,62,24,66,129,0,46,16,10417,565,655799,224090,2597,710,4021,3667,120715,119344,701,1326,18355,59726,5708,733,2956,2554,63,31583,1005,5045,7771,25856,223,5533,11517,4186,1369,491,35,123,1238,11,41,159,15,655,49,99383,61360,1928,45,4240,314,316,24317,196,462,3526,3096,30,281,322,562,157,256,23,17,1406,168,262,526,6775,1215,234,133,106,28,541,428,85,327,98,3144,1368,361,138,100,0,247,27,3555,5845,586,69,89,140,155,41,92,56,31536,764486,237678,2825,720,4467,4544,138264,148906,810,1848,31481,71060,7138,1143,3064,2601,155,35211,1090,6060,11369,31204,373,22475,14135,3687,1361,92,255,2081,17,209,180,15,6238,12851684,12551462,9270907,1837612,29399,655799,4186,753559,300222,60418,239804,281491,90640,40527,67613,9820,72891,17015,1716
40,IL,17,,,,,04001US17,Illinois -- Urban,11397206,7877320,1813033,27005,647415,3852,746905,281676,58477,223199,8115799,1936830,86279,736971,12801,809742,27005,14385,554,32,421,95,88,2591,50,41,1368,712,7,96,91,199,12,18,13,16,281,121,122,172,4122,317,22,49,18,0,195,124,4,52,15,869,461,299,23,0,0,40,10,665,1885,300,60,11,54,129,0,46,16,9912,507,647415,221865,2534,710,3899,3633,119520,117602,701,1285,17875,58446,5612,724,2944,2524,60,31436,1005,5003,7542,25408,220,5443,11424,3852,1242,444,35,102,1161,11,34,159,15,608,41,89328,54153,1704,37,3801,242,283,20433,179,436,3165,2884,30,234,310,506,156,247,13,16,1251,151,208,511,6618,1156,187,124,106,0,449,375,84,297,66,2738,1264,360,138,54,0,240,27,3073,5630,476,60,31,128,155,41,61,46,29023,752462,235234,2762,720,4345,4490,136484,145973,810,1785,30583,69227,7005,1134,3052,2571,150,35004,1087,5995,11048,30578,370,22055,13037,3405,1235,92,210,1834,11,170,180,15,5885,11397206,11115530,7877320,1813033,27005,647415,3852,746905,281676,58477,223199,263958,84693,34351,64932,9638,70344,16049,1669
40,IL,17,,,,,04043US17,Illinois -- Rural,1454478,1393587,24579,2394,8384,334,6654,18546,1941,16605,1411265,31700,9427,11758,1053,8902,2394,1715,61,0,96,60,12,450,0,2,164,78,0,12,0,8,0,9,0,1,95,3,1,11,112,30,0,0,0,15,53,38,1,9,0,130,95,0,0,46,0,4,0,119,89,27,2,13,12,0,0,0,0,505,58,8384,2225,63,0,122,34,1195,1742,0,41,480,1280,96,9,12,30,3,147,0,42,229,448,3,90,93,334,127,47,0,21,77,0,7,0,0,47,8,10055,7207,224,8,439,72,33,3884,17,26,361,212,0,47,12,56,1,9,10,1,155,17,54,15,157,59,47,9,0,28,92,53,1,30,32,406,104,1,0,46,0,7,0,482,215,110,9,58,12,0,0,31,10,2513,12024,2444,63,0,122,54,1780,2933,0,63,898,1833,133,9,12,30,5,207,3,65,321,626,3,420,1098,282,126,0,45,247,6,39,0,0,353,1454478,1435932,1393587,24579,2394,8384,334,6654,18546,1941,16605,17533,5947,6176,2681,182,2547,966,47
40,IL,17,,,,,040A0US17,Illinois -- In metropolitan or micropolitan statistical area,12240398,8697032,1816010,28362,652740,3996,749820,292438,59514,232924,8946031,1943239,92164,744544,13146,813801,28362,15450,606,32,438,155,100,2859,50,43,1466,746,7,103,91,194,12,19,13,17,329,102,123,172,4229,326,22,49,18,15,229,162,5,61,15,933,556,299,23,46,0,40,10,735,1932,312,60,11,66,129,0,46,16,10109,543,652740,223660,2597,710,3927,3662,120159,118653,701,1301,18164,59430,5662,733,2947,2511,63,31505,1005,5045,7667,25647,223,5515,11253,3996,1297,479,35,113,1214,11,41,159,15,588,44,95576,58814,1878,45,4067,311,316,23133,167,449,3448,2893,30,266,322,527,157,248,23,17,1347,146,262,515,6689,1185,229,124,101,28,501,420,85,315,74,2856,1333,360,138,100,0,243,27,3439,5656,568,67,73,140,155,41,92,56,30482,759999,237120,2825,720,4193,4539,137413,147699,810,1818,31104,70603,7073,1143,3055,2558,155,35110,1090,6060,11211,30908,373,22419,13415,3463,1317,92,222,1981,11,176,180,15,5958,12240398,11947960,8697032,1816010,28362,652740,3996,749820,292438,59514,232924,274219,87808,38531,66745,9648,71487,16523,1696
40,IL,17,,,,,040C0US17,Illinois -- In metropolitan statistical area,11355718,7881011,1780323,26776,646141,3574,741462,276431,57933,218498,8115031,1899516,85409,735491,12309,803686,26776,14441,586,32,398,151,88,2637,50,39,1401,673,7,96,91,94,12,18,13,16,208,95,123,172,4132,287,22,49,18,10,229,162,5,61,15,873,492,299,23,46,0,40,10,668,1823,302,60,11,62,123,0,46,16,9753,441,646141,222237,2519,708,3838,3631,119087,116893,701,1196,17807,58782,5514,733,2944,2288,60,31406,1005,5020,7620,25303,220,5435,11194,3574,1147,437,26,113,1026,11,34,159,15,565,41,88348,54142,1766,45,3771,307,304,20657,164,370,3182,2646,30,254,319,379,156,234,18,16,1177,137,254,439,6529,1100,189,122,101,10,498,406,85,297,74,2698,1266,360,138,100,0,240,27,3277,5338,474,67,31,125,149,41,61,56,28338,750676,235542,2747,718,4104,4470,135907,145096,810,1666,30349,69576,6907,1143,3052,2329,150,34948,1087,6035,11164,30502,370,22004,12505,3163,1125,39,214,1765,11,154,180,15,5839,11355718,11079287,7881011,1780323,26776,646141,3574,741462,276431,57933,218498,258962,80971,34269,64973,9248,69501,15809,1660
40,IL,17,,,,,040C1US17,Illinois -- In metropolitan statistical area -- in principal city,4217690,2357011,1048266,11950,311555,1330,369545,118033,25625,92408,2452752,1103572,35929,349882,5125,397241,11950,6562,244,20,281,35,32,1197,38,23,624,267,0,25,37,16,0,5,13,0,61,77,72,153,1994,205,14,32,0,0,125,31,4,20,0,371,195,91,23,0,0,0,0,237,524,87,0,5,40,31,0,11,0,4531,246,311555,96997,1795,371,1586,1638,77012,48687,109,738,10080,23983,2857,445,1543,1042,0,13939,563,2967,4272,13371,147,2233,5180,1330,405,151,0,79,414,0,0,17,15,232,17,37126,21757,525,20,1824,107,104,7811,96,178,1443,1214,0,86,199,172,20,93,13,0,491,105,98,202,2868,767,101,38,0,0,233,170,4,140,20,1034,461,105,52,14,0,9,0,940,2010,202,0,10,94,31,41,26,30,13127,356763,102686,1953,371,1728,1817,85001,59517,171,909,15742,28047,3454,649,1565,1046,0,15211,598,3353,5448,15675,284,11538,5193,1228,278,13,130,519,0,41,38,15,2931,4217690,4099657,2357011,1048266,11950,311555,1330,369545,118033,25625,92408,110026,34243,11364,27461,5581,31377,7326,681
40,IL,17,,,,,040C2US17,Illinois -- In metropolitan statistical area -- not in principal city,7138028,5524000,732057,14826,334586,2244,371917,158398,32308,126090,5662279,795944,49480,385609,7184,406445,14826,7879,342,12,117,116,56,1440,12,16,777,406,7,71,54,78,12,13,0,16,147,18,51,19,2138,82,8,17,18,10,104,131,1,41,15,502,297,208,0,46,0,40,10,431,1299,215,60,6,22,92,0,35,16,5222,195,334586,125240,724,337,2252,1993,42075,68206,592,458,7727,34799,2657,288,1401,1246,60,17467,442,2053,3348,11932,73,3202,6014,2244,742,286,26,34,612,11,34,142,0,333,24,51222,32385,1241,25,1947,200,200,12846,68,192,1739,1432,30,168,120,207,136,141,5,16,686,32,156,237,3661,333,88,84,101,10,265,236,81,157,54,1664,805,255,86,86,0,231,27,2337,3328,272,67,21,31,118,0,35,26,15211,393913,132856,794,347,2376,2653,50906,85579,639,757,14607,41529,3453,494,1487,1283,150,19737,489,2682,5716,14827,86,10466,7312,1935,847,26,84,1246,11,113,142,0,2908,7138028,6979630,5524000,732057,14826,334586,2244,371917,158398,32308,126090,148936,46728,22905,37512,3667,38124,8483,979
40,IL,17,,,,,040E0US17,Illinois -- In micropolitan statistical area,884680,816021,35687,1586,6599,422,8358,16007,1581,14426,831000,43723,6755,9053,837,10115,1586,1009,20,0,40,4,12,222,0,4,65,73,0,7,0,100,0,1,0,1,121,7,0,0,97,39,0,0,0,5,0,0,0,0,0,60,64,0,0,0,0,0,0,67,109,10,0,0,4,6,0,0,0,356,102,6599,1423,78,2,89,31,1072,1760,0,105,357,648,148,0,3,223,3,99,0,25,47,344,3,80,59,422,150,42,9,0,188,0,7,0,0,23,3,7228,4672,112,0,296,4,12,2476,3,79,266,247,0,12,3,148,1,14,5,1,170,9,8,76,160,85,40,2,0,18,3,14,0,18,0,158,67,0,0,0,0,3,0,162,318,94,0,42,15,6,0,31,0,2144,9323,1578,78,2,89,69,1506,2603,0,152,755,1027,166,0,3,229,5,162,3,25,47,406,3,415,910,300,192,53,8,216,0,22,0,0,119,884680,868673,816021,35687,1586,6599,422,8358,16007,1581,14426,15257,6837,4262,1772,400,1986,714,36
40,IL,17,,,,,040E1US17,Illinois -- In micropolitan statistical area -- in principal city,330695,286855,25668,575,3817,296,4773,8711,720,7991,294946,30745,3307,4852,497,5583,575,369,0,0,2,0,0,94,0,4,8,43,0,0,0,0,0,0,0,0,72,4,0,0,78,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,0,0,0,0,0,0,0,0,117,55,3817,1226,27,2,0,16,689,823,0,87,104,279,95,0,0,189,0,32,0,10,1,166,0,27,44,296,135,23,9,0,129,0,0,0,0,0,0,3552,2299,0,0,169,0,0,1342,0,76,58,177,0,3,0,0,0,13,0,0,96,6,0,72,122,55,0,0,0,0,0,7,0,6,0,51,0,0,0,0,0,0,0,46,130,0,0,0,0,0,0,0,0,1123,5030,1323,27,2,0,16,889,1122,0,110,399,467,95,0,0,195,0,50,0,10,1,182,0,142,497,214,83,9,0,143,0,0,0,0,48,330695,321984,286855,25668,575,3817,296,4773,8711,720,7991,8233,4226,2083,703,334,887,442,36
40,IL,17,,,,,040E2US17,Illinois -- In micropolitan statistical area -- not in principal city,553985,529166,10019,1011,2782,126,3585,7296,861,6435,536054,12978,3448,4201,340,4532,1011,640,20,0,38,4,12,128,0,0,57,30,0,7,0,100,0,1,0,1,49,3,0,0,19,7,0,0,0,5,0,0,0,0,0,60,64,0,0,0,0,0,0,35,75,10,0,0,4,6,0,0,0,239,47,2782,197,51,0,89,15,383,937,0,18,253,369,53,0,3,34,3,67,0,15,46,178,3,53,15,126,15,19,0,0,59,0,7,0,0,23,3,3676,2373,112,0,127,4,12,1134,3,3,208,70,0,9,3,148,1,1,5,1,74,3,8,4,38,30,40,2,0,18,3,7,0,12,0,107,67,0,0,0,0,3,0,116,188,94,0,42,15,6,0,31,0,1021,4293,255,51,0,89,53,617,1481,0,42,356,560,71,0,3,34,5,112,3,15,46,224,3,273,413,86,109,44,8,73,0,22,0,0,71,553985,546689,529166,10019,1011,2782,126,3585,7296,861,6435,7024,2611,2179,1069,66,1099,272,0
40,IL,17,,,,,040G0US17,Illinois -- Not in metropolitan or micropolitan statistical area,611286,573875,21602,1037,3059,190,3739,7784,904,6880,581033,25291,3542,4185,708,4843,1037,650,9,0,79,0,0,182,0,0,66,44,0,5,0,13,0,8,0,0,47,22,0,11,5,21,0,0,0,0,19,0,0,0,0,66,0,0,0,0,0,4,0,49,42,15,2,13,0,0,0,0,0,308,22,3059,430,0,0,94,5,556,691,0,25,191,296,46,0,9,43,0,78,0,0,104,209,0,18,264,190,72,12,0,10,24,0,0,0,0,67,5,3807,2546,50,0,173,3,0,1184,29,13,78,203,0,15,0,35,0,8,0,0,59,22,0,11,86,30,5,9,5,0,40,8,0,12,24,288,35,1,0,0,0,4,0,116,189,18,2,16,0,0,0,0,0,1054,4487,558,0,0,274,5,851,1207,0,30,377,457,65,0,9,43,0,101,0,0,158,296,0,56,720,224,44,0,33,100,6,33,0,0,280,611286,603502,573875,21602,1037,3059,190,3739,7784,904,6880,7272,2832,1996,868,172,1404,492,20
40,IL,17,,,,,040H0US17,Illinois -- Not in metropolitan statistical area,1495966,1389896,57289,2623,9658,612,12097,23791,2485,21306,1412033,69014,10297,13238,1545,14958,2623,1659,29,0,119,4,12,404,0,4,131,117,0,12,0,113,0,9,0,1,168,29,0,11,102,60,0,0,0,5,19,0,0,0,0,126,64,0,0,0,0,4,0,116,151,25,2,13,4,6,0,0,0,664,124,9658,1853,78,2,183,36,1628,2451,0,130,548,944,194,0,12,266,3,177,0,25,151,553,3,98,323,612,222,54,9,10,212,0,7,0,0,90,8,11035,7218,162,0,469,7,12,3660,32,92,344,450,0,27,3,183,1,22,5,1,229,31,8,87,246,115,45,11,5,18,43,22,0,30,24,446,102,1,0,0,0,7,0,278,507,112,2,58,15,6,0,31,0,3198,13810,2136,78,2,363,74,2357,3810,0,182,1132,1484,231,0,12,272,5,263,3,25,205,702,3,471,1630,524,236,53,41,316,6,55,0,0,399,1495966,1472175,1389896,57289,2623,9658,612,12097,23791,2485,21306,22529,9669,6258,2640,572,3390,1206,56
50,IL,17,001,,,,05000US17001,"Adams County, Illinois",66949,62268,2541,172,534,54,387,993,48,945,63241,3179,409,688,60,435,172,108,0,0,0,0,12,25,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,55,0,534,52,0,0,0,0,159,21,0,69,0,101,0,0,0,22,0,23,0,10,0,77,0,0,0,54,51,0,0,0,0,0,0,0,0,3,0,409,248,0,0,14,0,12,137,0,0,20,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,146,737,101,0,0,0,0,198,78,0,69,0,111,0,0,0,22,0,43,0,10,0,77,0,28,60,51,6,0,0,0,0,0,0,0,3,66949,65956,62268,2541,172,534,54,387,993,48,945,923,558,196,95,20,54,70,0
50,IL,17,003,,,,05000US17003,"Alexander County, Illinois",7051,4365,2388,31,20,0,27,220,62,158,4515,2569,81,29,0,89,31,22,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,20,0,0,0,0,0,9,2,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,70,0,0,0,0,0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,29,0,0,0,0,0,9,2,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7051,6831,4365,2388,31,20,0,27,220,62,158,208,99,25,9,13,62,12,0
50,IL,17,005,,,,05000US17005,"Bond County, Illinois",17137,15560,905,17,217,0,107,331,15,316,15874,1118,145,234,0,122,17,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,217,1,0,0,0,0,75,23,18,0,21,68,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,58,13,0,13,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,92,234,1,0,0,0,0,75,23,18,0,21,85,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17137,16806,15560,905,17,217,0,107,331,15,316,306,171,103,0,0,32,25,0
50,IL,17,007,,,,05000US17007,"Boone County, Illinois",53656,46967,1149,172,710,0,3498,1160,388,772,47855,1673,549,836,147,3898,172,172,13,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,31,0,0,0,1,244,319,0,0,0,77,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,525,13,0,52,0,0,98,0,0,4,159,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,24,860,31,0,0,0,1,268,387,0,0,0,81,44,0,24,0,0,0,0,0,0,24,0,0,147,16,0,0,0,82,0,0,0,0,49,53656,52496,46967,1149,172,710,0,3498,1160,388,772,1018,303,203,102,6,404,142,0
50,IL,17,009,,,,05000US17009,"Brown County, Illinois",6836,5441,1262,2,48,0,3,80,18,62,5500,1297,50,48,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6836,6756,5441,1262,2,48,0,3,80,18,62,80,14,45,0,3,18,0,0
50,IL,17,011,,,,05000US17011,"Bureau County, Illinois",33822,32130,236,53,266,7,685,445,82,363,32533,436,178,346,7,767,53,20,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,266,3,0,0,0,0,55,114,0,0,3,61,9,0,0,2,3,0,0,0,16,0,0,0,0,7,0,0,0,0,4,0,3,0,0,0,0,201,89,7,0,4,0,0,16,0,0,0,0,0,5,0,15,1,0,0,0,0,0,0,0,7,15,0,0,0,0,0,7,0,7,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,108,346,3,0,0,0,0,57,160,0,0,8,61,15,0,0,2,3,0,0,0,16,3,0,18,7,0,0,0,0,4,0,3,0,0,0,33822,33377,32130,236,53,266,7,685,445,82,363,445,200,109,38,0,98,0,0
50,IL,17,013,,,,05000US17013,"Calhoun County, Illinois",4962,4892,7,2,7,0,1,53,8,45,4945,8,46,7,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4962,4909,4892,7,2,7,0,1,53,8,45,53,1,44,0,0,8,0,0
50,IL,17,015,,,,05000US17015,"Carroll County, Illinois",14793,14193,191,14,89,3,56,247,52,195,14406,312,92,122,40,149,14,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,89,20,0,0,0,0,11,28,0,0,4,6,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,92,55,0,0,0,0,0,39,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,122,42,0,0,0,0,11,39,0,0,4,6,20,0,0,0,0,0,0,0,0,0,0,0,40,11,26,0,0,3,0,0,0,0,0,14793,14546,14193,191,14,89,3,56,247,52,195,166,17,62,22,0,65,81,0
50,IL,17,017,,,,05000US17017,"Cass County, Illinois",13068,11748,577,5,37,43,467,191,65,126,11911,656,26,86,48,539,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,37,0,0,0,0,0,0,27,0,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,43,0,0,0,0,0,0,0,0,0,43,0,35,25,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,86,0,0,0,0,0,2,35,0,0,4,26,0,0,0,0,0,0,0,0,15,4,0,0,48,2,0,0,0,0,0,0,0,0,46,13068,12877,11748,577,5,37,43,467,191,65,126,184,54,14,44,0,72,7,0
50,IL,17,019,,,,05000US17019,"Champaign County, Illinois",206420,150806,25974,317,21009,79,2111,6124,516,5608,156269,29142,1232,23114,376,2644,317,222,0,0,4,0,0,66,0,0,6,6,0,0,0,7,0,0,0,0,3,0,0,4,16,26,0,0,18,0,43,0,1,0,0,4,0,0,0,0,0,0,0,18,9,23,0,0,0,23,0,0,0,27,36,21009,4343,51,0,0,133,8686,1364,5,108,291,3547,248,30,26,54,0,607,77,392,104,621,7,161,154,79,0,0,0,0,79,0,0,0,0,0,0,1271,984,10,0,56,0,0,421,0,11,6,158,0,0,5,7,10,0,0,0,18,0,45,4,16,42,0,0,18,0,46,0,1,0,0,33,16,0,0,0,0,0,0,61,101,23,0,0,0,23,0,0,0,163,23325,4428,51,0,0,133,9143,1987,5,121,558,3865,322,30,26,54,0,641,77,428,240,722,15,479,376,34,7,0,1,137,0,0,0,0,197,206420,200296,150806,25974,317,21009,79,2111,6124,516,5608,5891,2689,575,1564,155,908,233,0
50,IL,17,021,,,,05000US17021,"Christian County, Illinois",33888,32714,524,87,179,40,44,300,26,274,33014,666,129,269,40,70,87,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,12,0,179,0,0,0,0,0,44,7,0,0,121,5,0,0,0,0,0,0,0,0,0,0,0,0,2,40,34,0,0,0,6,0,0,0,0,0,0,136,116,0,0,0,0,0,27,0,3,0,5,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,20,274,6,0,0,0,0,49,72,0,0,121,26,0,0,0,0,0,0,0,0,0,0,0,0,40,34,0,0,0,6,0,0,0,0,0,33888,33588,32714,524,87,179,40,44,300,26,274,300,142,42,90,0,26,0,0
50,IL,17,023,,,,05000US17023,"Clark County, Illinois",16089,15646,72,6,70,10,94,191,52,139,15837,172,37,78,10,146,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,43,0,0,0,0,4,0,0,0,10,6,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,37,37,2,0,6,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,47,0,0,0,0,4,2,0,0,10,8,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,10,0,0,0,0,0,0,16089,15898,15646,72,6,70,10,94,191,52,139,191,100,31,8,0,52,0,0
50,IL,17,025,,,,05000US17025,"Clay County, Illinois",13466,13173,84,22,37,0,0,150,0,150,13322,182,80,42,0,0,22,22,1,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,0,0,0,0,0,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,65,1,0,0,0,0,45,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,11,0,0,0,0,0,24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13466,13316,13173,84,22,37,0,0,150,0,150,140,87,47,5,1,0,10,0
