SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,LA,22,,,,,04000US22,Louisiana,4645670,2909290,1494201,26403,78719,1464,50434,85159,8633,76526,2983369,1539681,59221,93947,3905,60615,26403,20021,215,0,202,52,61,2678,7,235,44,1860,0,14,7,196,0,64,0,8050,96,0,92,0,460,353,112,5,0,16,139,40,0,30,36,248,166,191,0,8,24,28,0,4292,1171,159,16,12,45,39,12,35,0,4542,510,78719,10584,281,0,94,530,11941,7350,124,424,1509,4003,1682,111,97,609,0,1573,436,442,1195,33534,24,1134,1042,1464,433,198,0,0,411,0,216,24,0,167,15,61602,45716,677,0,1236,419,104,10967,75,645,155,6663,0,162,19,575,28,72,22,12392,186,17,116,0,728,620,162,26,14,16,157,56,0,118,56,609,263,217,0,26,24,63,0,8031,2793,312,73,29,94,39,12,65,32,12749,95650,11715,301,0,139,700,14556,12033,124,636,3404,5438,1884,275,114,614,0,1745,456,589,1958,35407,41,3521,4133,1129,430,9,33,684,0,227,32,0,1589,4645670,4560511,2909290,1494201,26403,78719,1464,50434,85159,8633,76526,76411,29548,20632,9975,4684,11572,7755,993
40,LA,22,,,,,04001US22,Louisiana -- Urban,3411420,1945584,1268488,15971,72785,1119,42829,64644,6780,57864,2001184,1304172,39717,85402,3236,50843,15971,12100,160,0,176,11,56,1520,7,162,6,866,0,2,1,111,0,49,0,5454,53,0,14,0,414,200,84,0,0,16,107,40,0,26,36,133,166,170,0,0,24,0,0,2036,572,135,16,0,45,39,0,35,0,2881,283,72785,9604,281,0,94,497,11129,6302,124,349,1370,3431,1493,111,97,573,0,1550,436,442,761,32008,24,1134,975,1119,300,177,0,0,313,0,216,9,0,104,0,41489,30360,562,0,892,324,99,6991,69,473,82,3987,0,116,11,473,17,53,13,9002,122,0,38,0,606,283,134,18,14,16,125,56,0,93,56,431,241,181,0,0,24,0,0,4758,1881,201,38,0,89,39,0,35,32,9015,87000,10570,301,0,139,656,13487,10166,124,523,2994,4427,1689,275,109,578,0,1717,456,583,1335,33579,37,3255,3445,931,361,9,11,434,0,227,17,0,1455,3411420,3346776,1945584,1268488,15971,72785,1119,42829,64644,6780,57864,57115,22286,13755,8200,3674,9200,6733,796
40,LA,22,,,,,04043US22,Louisiana -- Rural,1234250,963706,225713,10432,5934,345,7605,20515,1853,18662,982185,235509,19504,8545,669,9772,10432,7921,55,0,26,41,5,1158,0,73,38,994,0,12,6,85,0,15,0,2596,43,0,78,0,46,153,28,5,0,0,32,0,0,4,0,115,0,21,0,8,0,28,0,2256,599,24,0,12,0,0,12,0,0,1661,227,5934,980,0,0,0,33,812,1048,0,75,139,572,189,0,0,36,0,23,0,0,434,1526,0,0,67,345,133,21,0,0,98,0,0,15,0,63,15,20113,15356,115,0,344,95,5,3976,6,172,73,2676,0,46,8,102,11,19,9,3390,64,17,78,0,122,337,28,8,0,0,32,0,0,25,0,178,22,36,0,26,0,63,0,3273,912,111,35,29,5,0,12,30,0,3734,8650,1145,0,0,0,44,1069,1867,0,113,410,1011,195,0,5,36,0,28,0,6,623,1828,4,266,688,198,69,0,22,250,0,0,15,0,134,1234250,1213735,963706,225713,10432,5934,345,7605,20515,1853,18662,19296,7262,6877,1775,1010,2372,1022,197
40,LA,22,,,,,040A0US22,Louisiana -- In metropolitan or micropolitan statistical area,4316480,2694532,1391268,22679,77951,1389,48375,80286,8163,72123,2764249,1434261,53240,92763,3724,58039,22679,17301,187,0,200,47,61,2409,7,235,23,1267,0,14,7,181,0,64,0,7893,88,0,92,0,460,324,53,5,0,16,122,40,0,30,36,220,166,191,0,8,24,28,0,2803,889,135,16,0,45,39,0,35,0,3893,461,77951,10399,281,0,94,530,11899,7114,124,422,1496,3957,1673,111,97,609,0,1573,436,442,1123,33399,24,1106,1042,1389,431,156,0,0,394,0,216,21,0,156,15,55499,41340,623,0,1208,396,104,10294,62,628,131,5476,0,162,19,549,28,72,22,12170,178,17,116,0,683,584,103,26,14,16,140,56,0,109,56,573,263,217,0,26,24,63,0,6132,2431,211,43,0,94,39,0,35,32,11485,94456,11423,301,0,139,700,14493,11726,124,634,3315,5361,1869,275,114,609,0,1745,456,589,1870,35204,41,3468,3952,1105,388,9,33,654,0,227,29,0,1507,4316480,4236194,2694532,1391268,22679,77951,1389,48375,80286,8163,72123,71876,27723,18906,9767,4543,10937,7478,932
40,LA,22,,,,,040C0US22,Louisiana -- In metropolitan statistical area,3879661,2417019,1252411,20176,74259,1122,43848,70826,7365,63461,2478564,1290423,47041,87509,3027,52632,20176,15543,170,0,191,34,42,2093,7,162,23,1158,0,0,6,137,0,64,0,7624,72,0,31,0,460,158,53,5,0,16,122,29,0,26,36,208,166,191,0,8,0,28,0,2223,822,135,16,0,45,39,0,35,0,3342,334,74259,9922,281,0,94,496,11283,6577,124,341,1392,3410,1631,111,97,609,0,1535,352,439,1040,32410,24,1105,986,1122,388,146,0,0,294,0,117,21,0,156,0,48932,36410,584,0,1026,371,85,8732,62,539,127,5128,0,135,18,471,5,64,13,11463,162,0,55,0,681,259,84,24,14,16,140,45,0,93,56,529,241,217,0,26,0,63,0,4882,2260,201,38,0,89,39,0,35,32,10029,89009,10854,301,0,139,666,13679,10663,124,420,3113,4456,1824,275,109,609,0,1699,372,586,1736,34046,41,3297,3203,951,343,0,33,438,0,128,24,0,1286,3879661,3808835,2417019,1252411,20176,74259,1122,43848,70826,7365,63461,63158,24174,16335,8862,4037,9750,6795,873
40,LA,22,,,,,040C1US22,Louisiana -- In metropolitan statistical area -- in principal city,1389374,653293,655434,5051,35697,424,14901,24574,3242,21332,673696,669192,12884,41548,1148,18909,5051,3774,128,0,106,11,12,642,7,16,6,297,0,0,0,14,0,0,0,1532,46,0,14,0,68,23,19,0,0,0,62,15,0,16,0,0,46,164,0,0,0,0,0,530,131,57,12,0,45,0,0,0,0,962,127,35697,4409,108,0,94,144,7206,3311,2,192,688,1895,366,34,0,573,0,974,256,247,424,13700,10,621,443,424,161,74,0,0,101,0,59,0,0,29,0,13553,9458,389,0,394,81,42,2133,7,276,32,1271,0,50,10,88,0,0,0,2230,80,0,14,0,146,46,42,1,14,0,68,19,0,59,0,128,115,175,0,0,0,0,0,1548,548,123,34,0,89,0,0,0,32,3392,42322,5037,128,0,94,198,8057,4777,2,271,1568,2387,424,63,12,573,0,1133,276,362,786,14412,16,1746,1243,465,159,0,11,121,0,70,3,0,414,1389374,1364800,653293,655434,5051,35697,424,14901,24574,3242,21332,21526,7710,3980,3949,1416,4471,2700,348
40,LA,22,,,,,040C2US22,Louisiana -- In metropolitan statistical area -- not in principal city,2490287,1763726,596977,15125,38562,698,28947,46252,4123,42129,1804868,621231,34157,45961,1879,33723,15125,11769,42,0,85,23,30,1451,0,146,17,861,0,0,6,123,0,64,0,6092,26,0,17,0,392,135,34,5,0,16,60,14,0,10,36,208,120,27,0,8,0,28,0,1693,691,78,4,0,0,39,0,35,0,2380,207,38562,5513,173,0,0,352,4077,3266,122,149,704,1515,1265,77,97,36,0,561,96,192,616,18710,14,484,543,698,227,72,0,0,193,0,58,21,0,127,0,35379,26952,195,0,632,290,43,6599,55,263,95,3857,0,85,8,383,5,64,13,9233,82,0,41,0,535,213,42,23,0,16,72,26,0,34,56,401,126,42,0,26,0,63,0,3334,1712,78,4,0,0,39,0,35,0,6637,46687,5817,173,0,45,468,5622,5886,122,149,1545,2069,1400,212,97,36,0,566,96,224,950,19634,25,1551,1960,486,184,0,22,317,0,58,21,0,872,2490287,2444035,1763726,596977,15125,38562,698,28947,46252,4123,42129,41632,16464,12355,4913,2621,5279,4095,525
40,LA,22,,,,,040E0US22,Louisiana -- In micropolitan statistical area,436819,277513,138857,2503,3692,267,4527,9460,798,8662,285685,143838,6199,5254,697,5407,2503,1758,17,0,9,13,19,316,0,73,0,109,0,14,1,44,0,0,0,269,16,0,61,0,0,166,0,0,0,0,0,11,0,4,0,12,0,0,0,0,24,0,0,580,67,0,0,0,0,0,0,0,0,551,127,3692,477,0,0,0,34,616,537,0,81,104,547,42,0,0,0,0,38,84,3,83,989,0,1,56,267,43,10,0,0,100,0,99,0,0,0,15,6567,4930,39,0,182,25,19,1562,0,89,4,348,0,27,1,78,23,8,9,707,16,17,61,0,2,325,19,2,0,0,0,11,0,16,0,44,22,0,0,0,24,0,0,1250,171,10,5,0,5,0,0,0,0,1456,5447,569,0,0,0,34,814,1063,0,214,202,905,45,0,5,0,0,46,84,3,134,1158,0,171,749,154,45,9,0,216,0,99,5,0,221,436819,427359,277513,138857,2503,3692,267,4527,9460,798,8662,8718,3549,2571,905,506,1187,683,59
40,LA,22,,,,,040E1US22,Louisiana -- In micropolitan statistical area -- in principal city,121750,56804,59290,638,1096,99,1412,2411,197,2214,58912,60772,1167,1662,230,1639,638,419,5,0,0,0,16,64,0,0,0,71,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,28,0,0,0,0,0,0,0,0,164,27,1096,380,0,0,0,34,161,221,0,0,18,34,8,0,0,0,0,0,84,3,0,153,0,0,0,99,0,0,0,0,0,0,99,0,0,0,0,1234,815,5,0,27,0,16,187,0,1,0,91,0,0,0,27,17,0,0,295,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,142,49,0,0,0,0,0,0,0,0,370,1662,436,0,0,0,34,161,562,0,0,38,101,11,0,0,0,0,0,84,3,4,196,0,32,230,11,0,0,0,4,0,99,5,0,111,121750,119339,56804,59290,638,1096,99,1412,2411,197,2214,2207,1171,434,276,36,290,187,17
40,LA,22,,,,,040E2US22,Louisiana -- In micropolitan statistical area -- not in principal city,315069,220709,79567,1865,2596,168,3115,7049,601,6448,226773,83066,5032,3592,467,3768,1865,1339,12,0,9,13,3,252,0,73,0,38,0,14,1,44,0,0,0,88,16,0,61,0,0,166,0,0,0,0,0,11,0,4,0,12,0,0,0,0,24,0,0,498,39,0,0,0,0,0,0,0,0,387,100,2596,97,0,0,0,0,455,316,0,81,86,513,34,0,0,0,0,38,0,0,83,836,0,1,56,168,43,10,0,0,100,0,0,0,0,0,15,5333,4115,34,0,155,25,3,1375,0,88,4,257,0,27,1,51,6,8,9,412,16,17,61,0,2,322,19,2,0,0,0,11,0,16,0,40,22,0,0,0,24,0,0,1108,122,10,5,0,5,0,0,0,0,1086,3785,133,0,0,0,0,653,501,0,214,164,804,34,0,5,0,0,46,0,0,130,962,0,139,519,143,45,9,0,212,0,0,0,0,110,315069,308020,220709,79567,1865,2596,168,3115,7049,601,6448,6511,2378,2137,629,470,897,496,42
40,LA,22,,,,,040G0US22,Louisiana -- Not in metropolitan or micropolitan statistical area,329190,214758,102933,3724,768,75,2059,4873,470,4403,219120,105420,5981,1184,181,2576,3724,2720,28,0,2,5,0,269,0,0,21,593,0,0,0,15,0,0,0,157,8,0,0,0,0,29,59,0,0,0,17,0,0,0,0,28,0,0,0,0,0,0,0,1489,282,24,0,12,0,0,12,0,0,649,49,768,185,0,0,0,0,42,236,0,2,13,46,9,0,0,0,0,0,0,0,72,135,0,28,0,75,2,42,0,0,17,0,0,3,0,11,0,6103,4376,54,0,28,23,0,673,13,17,24,1187,0,0,0,26,0,0,0,222,8,0,0,0,45,36,59,0,0,0,17,0,0,9,0,36,0,0,0,0,0,0,0,1899,362,101,30,29,0,0,12,30,0,1264,1194,292,0,0,0,0,63,307,0,2,89,77,15,0,0,5,0,0,0,0,88,203,0,53,181,24,42,0,0,30,0,0,3,0,82,329190,324317,214758,102933,3724,768,75,2059,4873,470,4403,4535,1825,1726,208,141,635,277,61
40,LA,22,,,,,040H0US22,Louisiana -- Not in metropolitan statistical area,766009,492271,241790,6227,4460,342,6586,14333,1268,13065,504805,249258,12180,6438,878,7983,6227,4478,45,0,11,18,19,585,0,73,21,702,0,14,1,59,0,0,0,426,24,0,61,0,0,195,59,0,0,0,17,11,0,4,0,40,0,0,0,0,24,0,0,2069,349,24,0,12,0,0,12,0,0,1200,176,4460,662,0,0,0,34,658,773,0,83,117,593,51,0,0,0,0,38,84,3,155,1124,0,29,56,342,45,52,0,0,117,0,99,3,0,11,15,12670,9306,93,0,210,48,19,2235,13,106,28,1535,0,27,1,104,23,8,9,929,24,17,61,0,47,361,78,2,0,0,17,11,0,25,0,80,22,0,0,0,24,0,0,3149,533,111,35,29,5,0,12,30,0,2720,6641,861,0,0,0,34,877,1370,0,216,291,982,60,0,5,5,0,46,84,3,222,1361,0,224,930,178,87,9,0,246,0,99,8,0,303,766009,751676,492271,241790,6227,4460,342,6586,14333,1268,13065,13253,5374,4297,1113,647,1822,960,120
50,LA,22,001,,,,05000US22001,"Acadia Parish, Louisiana",62372,49287,11168,27,61,15,634,1180,46,1134,50290,11980,460,116,67,680,27,10,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,61,0,0,0,0,0,0,21,0,0,0,9,0,0,0,0,0,0,0,0,0,31,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,499,436,11,0,0,0,0,168,0,0,18,170,0,0,6,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,63,116,0,0,0,0,0,0,76,0,0,0,9,0,0,0,0,0,0,0,0,0,31,0,0,67,15,0,0,0,8,0,0,0,0,44,62372,61192,49287,11168,27,61,15,634,1180,46,1134,1139,638,282,11,145,63,41,0
50,LA,22,003,,,,05000US22003,"Allen Parish, Louisiana",25619,18797,5050,516,204,0,219,833,128,705,19483,5534,932,255,33,387,516,455,15,0,0,0,0,70,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,47,14,204,0,0,0,0,0,0,58,0,0,0,15,0,0,0,0,0,0,0,0,46,57,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,946,693,15,0,0,0,0,110,0,0,0,4,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,512,40,0,0,0,0,0,0,0,0,213,255,26,0,0,0,0,0,58,0,0,0,28,0,0,0,5,0,0,0,0,46,57,0,35,33,0,0,0,0,13,0,0,0,0,20,25619,24786,18797,5050,516,204,0,219,833,128,705,691,267,197,19,42,166,112,30
50,LA,22,005,,,,05000US22005,"Ascension Parish, Louisiana",117009,86568,25560,68,1057,0,527,3229,48,3181,89688,27429,1678,1840,265,657,68,49,8,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,1057,175,0,0,0,24,166,43,0,0,27,33,23,0,0,0,0,56,0,0,0,462,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1700,1359,23,0,56,0,0,694,0,0,15,108,0,0,0,4,0,0,0,355,0,0,0,0,0,7,0,15,0,0,12,0,0,0,20,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,341,1902,190,0,0,0,56,342,395,0,0,167,60,53,0,0,0,0,56,0,0,0,492,0,91,265,0,0,0,0,0,0,0,0,0,265,117009,113780,86568,25560,68,1057,0,527,3229,48,3181,1990,872,616,374,65,63,1159,80
50,LA,22,007,,,,05000US22007,"Assumption Parish, Louisiana",22973,15581,6881,141,48,0,154,168,13,155,15742,6969,201,78,0,167,141,130,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,48,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,169,0,0,0,0,0,39,0,0,0,5,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,32,78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,22973,22805,15581,6881,141,48,0,154,168,13,155,152,65,44,30,0,13,16,0
50,LA,22,009,,,,05000US22009,"Avoyelles Parish, Louisiana",41252,27595,12594,505,137,30,119,272,25,247,27834,12728,626,162,30,151,505,202,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,134,0,0,0,0,0,0,0,0,156,13,137,14,0,0,0,0,0,118,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,639,278,0,0,0,0,0,43,13,0,0,32,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,137,0,0,0,0,0,0,0,0,224,162,33,0,0,0,0,0,118,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,41252,40980,27595,12594,505,137,30,119,272,25,247,265,120,81,6,14,44,7,0
50,LA,22,011,,,,05000US22011,"Beauregard Parish, Louisiana",36435,30060,4781,289,180,3,191,931,20,911,30779,5131,909,388,80,217,289,246,5,0,0,0,0,55,0,0,0,59,0,0,1,0,0,0,0,5,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,43,0,180,17,0,0,0,6,0,39,0,0,13,47,0,0,0,0,0,0,0,0,16,42,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,928,748,5,0,13,0,0,420,0,1,0,67,0,4,1,0,4,0,0,5,0,0,61,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,180,388,17,0,0,0,6,0,149,0,0,22,130,3,0,0,0,0,0,0,0,16,42,0,3,80,3,3,0,0,74,0,0,0,0,0,36435,35504,30060,4781,289,180,3,191,931,20,911,802,90,394,101,102,115,120,9
50,LA,22,013,,,,05000US22013,"Bienville Parish, Louisiana",13924,7740,5765,14,2,0,215,188,60,128,7850,5915,65,18,0,275,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,36,0,0,0,0,0,7,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,29,18,0,0,0,0,0,0,1,0,0,4,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13924,13736,7740,5765,14,2,0,215,188,60,128,177,61,26,12,18,60,11,0
50,LA,22,015,,,,05000US22015,"Bossier Parish, Louisiana",124720,90705,26788,721,1991,206,1370,2939,402,2537,93361,27998,1392,3020,256,1831,721,577,10,0,0,0,0,160,0,0,0,118,0,0,0,14,0,0,0,58,0,0,0,0,0,0,0,0,0,0,48,0,0,16,0,32,0,16,0,0,0,0,0,105,30,0,0,0,0,0,0,0,0,114,0,1991,193,0,0,0,0,102,644,2,5,144,408,0,0,0,0,0,117,34,20,102,155,0,48,17,206,62,17,0,0,68,0,59,0,0,0,0,1433,1105,28,0,1,0,0,397,0,0,12,276,0,0,0,14,0,0,0,73,0,0,0,0,9,8,0,0,0,0,48,0,0,16,0,32,0,16,0,0,0,0,0,175,80,0,0,0,0,0,0,0,0,248,3112,225,0,0,0,0,188,962,2,5,221,512,0,0,0,0,0,117,34,80,198,183,0,385,264,101,17,0,0,79,0,59,0,0,8,124720,121781,90705,26788,721,1991,206,1370,2939,402,2537,2748,911,507,735,68,527,186,5
50,LA,22,017,,,,05000US22017,"Caddo Parish, Louisiana",253125,119554,123126,879,3053,81,2351,4081,987,3094,122750,125150,2230,3713,164,3370,879,644,0,0,24,11,0,275,0,0,0,48,0,0,0,0,0,0,0,59,0,0,0,0,19,0,7,0,0,0,47,9,0,0,0,0,0,0,0,8,0,0,0,137,25,0,0,0,0,0,0,0,0,202,8,3053,561,0,0,0,5,323,470,0,0,17,275,0,0,0,0,0,122,36,13,57,1066,0,83,25,81,28,35,0,0,3,0,0,0,0,15,0,2257,1518,1,0,64,18,18,546,0,16,0,231,0,0,0,0,0,0,0,134,0,0,0,0,28,0,7,0,0,0,47,9,0,5,0,0,8,15,0,8,0,0,0,363,44,24,0,0,24,0,0,0,0,671,3748,599,0,0,0,5,383,615,0,16,139,365,11,0,0,0,0,122,36,35,93,1097,0,232,233,100,104,0,0,3,0,0,0,0,26,253125,249044,119554,123126,879,3053,81,2351,4081,987,3094,3925,1183,990,471,153,1128,141,15
50,LA,22,019,,,,05000US22019,"Calcasieu Parish, Louisiana",197233,139481,49002,683,2555,11,1249,4252,316,3936,143340,51811,1998,2967,87,1606,683,514,0,0,6,0,0,140,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,162,7,2555,575,84,0,0,8,255,256,0,49,53,113,75,0,0,193,0,47,9,9,0,760,0,0,69,11,11,0,0,0,0,0,0,0,0,0,0,2090,1582,0,0,80,0,0,377,0,79,0,275,0,18,0,23,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,11,0,0,0,0,0,458,83,0,0,0,0,0,0,0,0,425,3036,671,90,0,0,8,307,455,0,49,69,179,75,0,0,193,0,87,9,9,26,803,0,6,102,81,6,0,0,9,0,0,0,0,6,197233,192981,139481,49002,683,2555,11,1249,4252,316,3936,3937,2213,868,330,155,371,306,9
50,LA,22,021,,,,05000US22021,"Caldwell Parish, Louisiana",9997,8155,1641,91,28,0,8,74,7,67,8223,1683,141,28,0,15,91,47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,44,0,28,17,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,60,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,69,28,17,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9997,9923,8155,1641,91,28,0,8,74,7,67,55,17,25,0,6,7,19,0
50,LA,22,023,,,,05000US22023,"Cameron Parish, Louisiana",6739,6424,107,0,35,0,166,7,0,7,6431,107,7,35,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6739,6732,6424,107,0,35,0,166,7,0,7,7,0,7,0,0,0,0,0
50,LA,22,025,,,,05000US22025,"Catahoula Parish, Louisiana",10145,6745,3324,8,15,0,11,42,7,35,6778,3351,16,24,0,18,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10145,10103,6745,3324,8,15,0,11,42,7,35,42,18,8,0,0,16,0,0
