SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,AK,02,,,,,04000US02,Alaska,736855,483518,24443,103574,44218,8862,9900,62340,3056,59284,538969,37800,143587,58279,13301,13314,103574,4857,167,0,24,84,0,745,5,23,570,354,4,46,3,122,13,0,62,7,71,9,53,11,227,302,0,8,13,3,66,159,94,40,35,429,26,3,3,33,9,46,3,985,367,88191,12001,8947,22917,9032,1378,33916,7489,0,2670,44218,835,382,236,2,91,2071,24824,3993,37,1485,4697,1233,121,23,85,13,57,73,51,1452,1134,0,248,1075,8862,1548,5104,597,42,481,61,602,23,0,143,261,148468,15956,429,0,792,170,16,4805,10,128,1599,1128,14,94,25,224,113,20,202,7,344,15,84,14,274,564,102,55,109,21,288,229,179,159,92,1069,42,3,3,51,9,161,110,2203,795,118705,18530,14122,29918,14643,2512,38980,12462,550,60720,1125,382,236,8,247,4330,31656,4165,81,4136,6892,1834,122,39,98,48,84,75,69,2312,1821,0,960,13682,3798,6193,799,76,894,192,721,23,14,972,736855,674515,483518,24443,103574,44218,8862,9900,62340,3056,59284,56929,7319,32356,7883,1924,7447,4767,644
40,AK,02,,,,,04001US02,Alaska -- Urban,485720,319552,22068,44793,36838,8024,7761,46684,2637,44047,360612,33376,73187,47855,11719,10687,44793,2595,104,0,0,34,0,329,0,20,161,179,4,31,0,115,12,0,62,7,11,3,50,0,43,230,0,0,12,0,34,60,23,13,17,302,22,3,0,30,7,38,3,636,317,35275,5091,3977,11472,5364,391,8980,5002,0,1604,36838,777,382,236,0,27,1780,20080,3602,20,1084,4146,1229,115,0,76,13,47,14,48,1218,709,0,195,1040,8024,1235,4873,565,24,390,55,471,23,0,137,251,76555,10288,191,0,608,79,6,3231,5,61,970,563,14,72,12,202,95,19,197,7,147,9,75,0,47,476,97,47,108,9,208,92,49,28,48,777,38,3,0,30,7,65,106,1490,576,57149,9553,7857,17081,9082,1004,12572,8341,201,50117,1042,382,236,0,183,3746,25631,3774,64,3001,5985,1784,116,16,89,24,74,14,66,1974,1334,0,582,12062,3188,5925,752,35,735,174,590,23,0,640,485720,439036,319552,22068,44793,36838,8024,7761,46684,2637,44047,42136,6225,22199,5982,1455,6275,4064,484
40,AK,02,,,,,04043US02,Alaska -- Rural,251135,163966,2375,58781,7380,838,2139,15656,419,15237,178357,4424,70400,10424,1582,2627,58781,2262,63,0,24,50,0,416,5,3,409,175,0,15,3,7,1,0,0,0,60,6,3,11,184,72,0,8,1,3,32,99,71,27,18,127,4,0,3,3,2,8,0,349,50,52916,6910,4970,11445,3668,987,24936,2487,0,1066,7380,58,0,0,2,64,291,4744,391,17,401,551,4,6,23,9,0,10,59,3,234,425,0,53,35,838,313,231,32,18,91,6,131,0,0,6,10,71913,5668,238,0,184,91,10,1574,5,67,629,565,0,22,13,22,18,1,5,0,197,6,9,14,227,88,5,8,1,12,80,137,130,131,44,292,4,0,3,21,2,96,4,713,219,61556,8977,6265,12837,5561,1508,26408,4121,349,10603,83,0,0,8,64,584,6025,391,17,1135,907,50,6,23,9,24,10,61,3,338,487,0,378,1620,610,268,47,41,159,18,131,0,14,332,251135,235479,163966,2375,58781,7380,838,2139,15656,419,15237,14793,1094,10157,1901,469,1172,703,160
40,AK,02,,,,,040A0US02,Alaska -- In metropolitan or micropolitan statistical area,544389,383356,22612,38453,34478,7900,8099,49491,2281,47210,427566,34634,68181,46494,11642,10675,38453,3597,143,0,4,47,0,603,0,20,522,269,0,46,3,4,13,0,62,7,26,0,50,0,45,240,0,0,12,0,61,121,92,21,17,354,16,3,0,30,7,38,3,718,285,27725,5219,3695,6048,5401,381,6981,5035,0,1811,34478,781,382,236,2,27,1821,17080,3954,26,1264,4255,1176,109,23,85,13,55,36,48,1266,669,0,173,997,7900,1098,4843,514,14,431,61,520,23,0,137,259,71938,12634,351,0,680,88,16,3927,5,115,1349,852,10,87,23,71,92,19,197,7,272,0,75,0,88,486,89,43,101,9,235,189,162,87,45,904,27,3,0,41,7,112,106,1664,587,49539,10423,7206,11095,9263,994,10558,9011,167,48646,1036,382,236,8,183,3907,22863,4126,68,3392,6219,1704,109,28,98,26,82,36,66,2062,1279,0,736,12020,3055,5801,701,34,821,190,639,23,0,756,544389,494898,383356,22612,38453,34478,7900,8099,49491,2281,47210,44788,6713,23731,6752,1574,6018,4094,609
40,AK,02,,,,,040C0US02,Alaska -- In metropolitan statistical area,498150,351517,22163,32610,31109,7566,7723,45462,2104,43358,392255,33637,59376,42124,10967,10107,32610,3196,128,0,4,47,0,518,0,20,507,257,0,46,3,4,13,0,62,0,24,0,50,0,45,226,0,0,12,0,34,60,81,21,17,346,0,3,0,0,0,20,3,645,236,23330,5133,3596,5933,1649,173,6846,4411,0,1437,31109,572,382,236,0,22,1696,14474,3934,26,1155,4204,1170,109,23,80,13,44,14,48,1228,638,0,161,880,7566,1008,4680,514,0,418,7,520,23,0,137,259,62497,11586,327,0,626,87,16,3606,5,115,1299,838,10,87,23,71,92,19,197,0,235,0,75,0,88,457,89,43,101,0,208,128,151,87,45,834,11,3,0,11,0,79,106,1417,412,42172,10111,6987,10786,3654,308,10326,8174,153,44107,816,382,236,0,172,3632,19611,4106,68,3122,6126,1698,109,28,93,26,52,14,66,2014,1110,0,626,11345,2861,5520,701,20,808,76,639,23,0,697,498150,452688,351517,22163,32610,31109,7566,7723,45462,2104,43358,41133,6533,21475,6276,1408,5441,3804,525
40,AK,02,,,,,040C1US02,Alaska -- In metropolitan statistical area -- in principal city,331899,213942,19707,23348,28330,7223,6736,32613,1770,30843,242488,28971,41292,36947,9822,8709,23348,1468,100,0,0,13,0,155,0,20,128,90,0,21,0,0,12,0,62,0,0,0,30,0,7,216,0,0,12,0,34,60,4,0,15,214,0,3,0,0,0,0,3,269,168,17374,3325,2954,4549,1167,109,5270,3381,0,957,28330,421,248,236,0,19,1438,13248,3870,20,981,3880,1033,109,0,77,13,36,14,37,1061,572,0,161,856,7223,903,4600,511,0,377,1,438,23,0,133,237,43598,6722,155,0,464,49,6,1806,5,61,696,370,0,21,12,64,91,0,197,0,100,0,30,0,11,442,84,23,101,0,208,86,11,0,43,593,11,3,0,0,0,40,106,833,316,31037,6803,5425,8164,2743,167,7735,5450,73,38679,654,248,236,0,169,2986,17491,4021,62,2389,5485,1489,109,5,90,24,44,14,37,1707,1020,0,399,10147,2303,5265,698,4,733,60,557,23,0,504,331899,299286,213942,19707,23348,28330,7223,6736,32613,1770,30843,29147,5153,13613,4794,1218,4369,3215,251
40,AK,02,,,,,040C2US02,Alaska -- In metropolitan statistical area -- not in principal city,166251,137575,2456,9262,2779,343,987,12849,334,12515,149767,4666,18084,5177,1145,1398,9262,1728,28,0,4,34,0,363,0,0,379,167,0,25,3,4,1,0,0,0,24,0,20,0,38,10,0,0,0,0,0,0,77,21,2,132,0,0,0,0,0,20,0,376,68,5956,1808,642,1384,482,64,1576,1030,0,480,2779,151,134,0,0,3,258,1226,64,6,174,324,137,0,23,3,0,8,0,11,167,66,0,0,24,343,105,80,3,0,41,6,82,0,0,4,22,18899,4864,172,0,162,38,10,1800,0,54,603,468,10,66,11,7,1,19,0,0,135,0,45,0,77,15,5,20,0,0,0,42,140,87,2,241,0,0,0,11,0,39,0,584,96,11135,3308,1562,2622,911,141,2591,2724,80,5428,162,134,0,0,3,646,2120,85,6,733,641,209,0,23,3,2,8,0,29,307,90,0,227,1198,558,255,3,16,75,16,82,0,0,193,166251,153402,137575,2456,9262,2779,343,987,12849,334,12515,11986,1380,7862,1482,190,1072,589,274
40,AK,02,,,,,040E0US02,Alaska -- In micropolitan statistical area,46239,31839,449,5843,3369,334,376,4029,177,3852,35311,997,8805,4370,675,568,5843,401,15,0,0,0,0,85,0,0,15,12,0,0,0,0,0,0,0,7,2,0,0,0,0,14,0,0,0,0,27,61,11,0,0,8,16,0,0,30,7,18,0,73,49,4395,86,99,115,3752,208,135,624,0,374,3369,209,0,0,2,5,125,2606,20,0,109,51,6,0,0,5,0,11,22,0,38,31,0,12,117,334,90,163,0,14,13,54,0,0,0,0,0,9441,1048,24,0,54,1,0,321,0,0,50,14,0,0,0,0,0,0,0,7,37,0,0,0,0,29,0,0,0,9,27,61,11,0,0,70,16,0,0,30,7,33,0,247,175,7367,312,219,309,5609,686,232,837,14,4539,220,0,0,8,11,275,3252,20,0,270,93,6,0,0,5,0,30,22,0,48,169,0,110,675,194,281,0,14,13,114,0,0,0,59,46239,42210,31839,449,5843,3369,334,376,4029,177,3852,3655,180,2256,476,166,577,290,84
40,AK,02,,,,,040E1US02,Alaska -- In micropolitan statistical area -- in principal city,40713,27512,439,5210,3336,334,354,3528,177,3351,30502,899,7760,4277,671,546,5210,370,15,0,0,0,0,67,0,0,15,12,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,27,61,11,0,0,8,16,0,0,30,7,18,0,62,44,3962,78,94,107,3367,181,135,527,0,307,3336,207,0,0,2,5,110,2601,20,0,104,51,6,0,0,5,0,11,22,0,38,25,0,12,117,334,90,163,0,14,13,54,0,0,0,0,0,8232,897,24,0,54,0,0,278,0,0,50,14,0,0,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,9,27,61,11,0,0,48,16,0,0,30,7,18,0,214,164,6455,212,198,281,4984,553,227,702,14,4446,218,0,0,8,11,260,3222,20,0,263,93,6,0,0,5,0,30,22,0,48,139,0,101,671,190,281,0,14,13,114,0,0,0,59,40713,37185,27512,439,5210,3336,334,354,3528,177,3351,3198,127,1904,443,166,558,246,84
40,AK,02,,,,,040E2US02,Alaska -- In micropolitan statistical area -- not in principal city,5526,4327,10,633,33,0,22,501,0,501,4809,98,1045,93,4,22,633,31,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,433,8,5,8,385,27,0,97,0,67,33,2,0,0,0,0,15,5,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,151,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,15,0,33,11,912,100,21,28,625,133,5,135,0,93,2,0,0,0,0,15,30,0,0,7,0,0,0,0,0,0,0,0,0,0,30,0,9,4,4,0,0,0,0,0,0,0,0,0,5526,5025,4327,10,633,33,0,22,501,0,501,457,53,352,33,0,19,44,0
40,AK,02,,,,,040G0US02,Alaska -- Not in metropolitan or micropolitan statistical area,192466,100162,1831,65121,9740,962,1801,12849,775,12074,111403,3166,75406,11785,1659,2639,65121,1260,24,0,20,37,0,142,5,3,48,85,4,0,0,118,0,0,0,0,45,9,3,11,182,62,0,8,1,3,5,38,2,19,18,75,10,0,3,3,2,8,0,267,82,60466,6782,5252,16869,3631,997,26935,2454,0,859,9740,54,0,0,0,64,250,7744,39,11,221,442,57,12,0,0,0,2,37,3,186,465,0,75,78,962,450,261,83,28,50,0,82,0,0,6,2,76530,3322,78,0,112,82,0,878,5,13,250,276,4,7,2,153,21,1,5,0,72,15,9,14,186,78,13,12,8,12,53,40,17,72,47,165,15,0,3,10,2,49,4,539,208,69166,8107,6916,18823,5380,1518,28422,3451,383,12074,89,0,0,0,64,423,8793,39,13,744,673,130,13,11,0,22,2,39,3,250,542,0,224,1662,743,392,98,42,73,2,82,0,14,216,192466,179617,100162,1831,65121,9740,962,1801,12849,775,12074,12141,606,8625,1131,350,1429,673,35
40,AK,02,,,,,040H0US02,Alaska -- Not in metropolitan statistical area,238705,132001,2280,70964,13109,1296,2177,16878,952,15926,146714,4163,84211,16155,2334,3207,70964,1661,39,0,20,37,0,227,5,3,63,97,4,0,0,118,0,0,0,7,47,9,3,11,182,76,0,8,1,3,32,99,13,19,18,83,26,0,3,33,9,26,0,340,131,64861,6868,5351,16984,7383,1205,27070,3078,0,1233,13109,263,0,0,2,69,375,10350,59,11,330,493,63,12,0,5,0,13,59,3,224,496,0,87,195,1296,540,424,83,42,63,54,82,0,0,6,2,85971,4370,102,0,166,83,0,1199,5,13,300,290,4,7,2,153,21,1,5,7,109,15,9,14,186,107,13,12,8,21,80,101,28,72,47,235,31,0,3,40,9,82,4,786,383,76533,8419,7135,19132,10989,2204,28654,4288,397,16613,309,0,0,8,75,698,12045,59,13,1014,766,136,13,11,5,22,32,61,3,298,711,0,334,2337,937,673,98,56,86,116,82,0,14,275,238705,221827,132001,2280,70964,13109,1296,2177,16878,952,15926,15796,786,10881,1607,516,2006,963,119
50,AK,02,013,,,,05000US02013,"Aleutians East Borough, Alaska",3299,630,231,1119,974,36,134,175,20,155,770,235,1253,1024,47,158,1119,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,1074,2,1057,9,5,0,1,23,0,0,974,0,0,0,0,2,0,895,0,0,3,7,0,0,0,0,0,0,0,0,0,49,0,0,18,36,0,10,0,5,0,0,21,0,0,0,0,1253,52,0,0,13,2,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,1174,2,1153,9,9,0,1,27,0,1042,0,0,0,0,2,18,931,0,0,22,7,0,0,0,0,0,0,0,0,0,58,0,4,47,5,10,0,5,0,0,21,0,0,6,3299,3124,630,231,1119,974,36,134,175,20,155,162,0,101,22,0,39,13,0
50,AK,02,016,,,,05000US02016,"Aleutians West Census Area, Alaska",5714,1763,315,745,2086,143,346,316,74,242,2018,362,864,2221,174,420,745,38,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,686,0,648,21,9,0,8,10,0,11,2086,11,0,0,0,0,0,1732,5,0,55,19,3,0,0,0,0,0,0,0,6,255,0,0,0,143,18,91,0,0,5,0,24,0,0,5,0,875,49,0,0,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,3,0,0,0,4,0,816,32,732,24,14,0,14,10,0,2231,11,0,0,0,0,3,1817,5,0,71,49,3,0,0,0,0,0,0,0,11,261,0,0,174,18,91,0,0,5,0,24,0,0,36,5714,5398,1763,315,745,2086,143,346,316,74,242,287,6,80,84,6,111,29,0
50,AK,02,020,,,,05000US02020,"Anchorage Municipality, Alaska",299321,192329,16938,20963,26756,6797,6187,29351,1760,27591,217913,24753,37278,34701,9226,8140,20963,1312,100,0,0,0,0,155,0,20,128,84,0,21,0,0,12,0,62,0,0,0,0,0,7,193,0,0,12,0,34,44,4,0,15,146,0,3,0,0,0,0,3,269,118,15621,2224,2907,4043,1145,109,5193,2994,0,918,26756,414,248,236,0,19,1233,12623,3846,0,936,3504,912,109,0,9,13,36,14,37,1043,537,0,161,826,6797,778,4448,511,0,235,1,431,23,0,133,237,39349,6320,128,0,459,36,6,1685,5,61,675,364,0,21,12,64,91,0,197,0,100,0,0,0,11,419,84,23,101,0,202,70,11,0,43,483,11,3,0,0,0,40,106,809,245,28049,5081,5348,7172,2645,161,7642,4696,39,36373,647,248,236,0,169,2699,16598,3997,42,2190,4973,1270,109,0,22,13,44,14,37,1685,981,0,399,9547,2139,5109,698,0,504,60,510,23,0,504,299321,269970,192329,16938,20963,26756,6797,6187,29351,1760,27591,26248,4163,12459,4356,1094,4176,2867,236
50,AK,02,050,,,,05000US02050,"Bethel Census Area, Alaska",17885,1976,135,14651,161,67,75,820,11,809,2627,229,15387,292,131,86,14651,47,4,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,6,14148,175,9,450,13,0,13501,361,0,89,161,5,0,0,0,0,8,44,0,0,2,96,0,6,0,0,0,0,0,0,0,0,0,0,0,67,65,0,0,0,2,0,0,0,0,0,0,15481,140,4,0,10,0,0,29,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,3,0,0,0,4,0,0,0,28,77,14824,222,10,459,20,0,14113,384,56,333,5,0,0,0,0,51,76,0,0,2,150,0,6,0,0,0,0,0,0,2,0,0,41,131,65,41,0,0,4,0,0,0,0,21,17885,17065,1976,135,14651,161,67,75,820,11,809,773,10,614,11,52,86,47,0
50,AK,02,060,,,,05000US02060,"Bristol Bay Borough, Alaska",942,525,3,302,11,2,13,86,0,86,591,8,386,18,12,13,302,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,267,8,121,18,4,4,112,6,0,21,11,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,409,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,391,15,170,47,13,4,142,8,0,18,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,12,0,0,0,0,0,0,0,942,856,525,3,302,11,2,13,86,0,86,86,0,64,2,5,15,0,0
50,AK,02,068,,,,05000US02068,"Denali Borough, Alaska",2125,1817,21,66,72,0,4,145,0,145,1960,33,130,149,0,4,66,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,41,30,0,6,0,0,5,8,0,0,72,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,48,12,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,5,0,4,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,58,47,0,6,0,0,5,24,0,149,0,0,0,0,0,0,39,0,11,36,16,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,1980,1817,21,66,72,0,4,145,0,145,139,4,56,77,2,0,6,0
50,AK,02,070,,,,05000US02070,"Dillingham Census Area, Alaska",4980,893,12,3596,108,1,27,343,0,343,1185,38,3925,157,7,27,3596,10,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3529,44,63,45,2,0,3375,50,0,7,108,0,0,0,0,0,3,75,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3943,33,0,0,1,0,0,12,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,3860,48,84,66,5,0,3657,50,0,157,0,0,0,0,0,12,77,0,0,38,10,0,0,0,0,0,0,0,0,0,20,0,0,7,2,5,0,0,0,0,0,0,0,0,4980,4637,893,12,3596,108,1,27,343,0,343,327,0,264,9,13,41,16,0
50,AK,02,090,,,,05000US02090,"Fairbanks North Star Borough, Alaska",100150,76617,4183,6547,3037,594,925,8247,93,8154,84338,6718,11438,4813,986,1086,6547,1130,24,0,0,29,0,266,0,0,328,103,0,10,0,0,0,0,0,0,0,0,30,0,0,23,0,0,0,0,0,16,0,0,0,112,0,0,0,0,0,0,0,189,70,4279,2269,76,1037,310,8,579,870,0,198,3037,128,0,0,0,0,292,1293,52,20,177,505,244,0,23,71,0,8,0,0,123,70,0,0,31,594,178,197,0,0,150,0,69,0,0,0,0,11888,2796,135,0,66,29,0,1224,0,0,465,298,10,10,0,0,0,19,0,0,10,0,30,0,0,23,0,20,0,0,6,52,32,0,0,154,0,0,0,0,0,0,0,213,104,7090,3381,279,1800,516,14,1100,1793,105,4891,128,0,0,0,0,542,1697,52,20,671,791,342,0,28,71,11,8,0,0,247,82,0,201,990,332,283,0,11,237,0,109,0,0,18,100150,91903,76617,4183,6547,3037,594,925,8247,93,8154,7475,1674,4014,1073,150,564,562,210
50,AK,02,100,,,,05000US02100,"Haines Borough, Alaska",2528,1970,1,123,85,5,12,332,0,332,2290,90,256,205,10,12,123,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,106,0,0,12,94,0,0,10,0,4,85,0,0,0,0,0,2,69,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,278,89,1,0,0,0,0,52,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,5,0,162,0,2,16,144,0,0,27,0,227,0,0,0,0,0,2,69,0,0,22,0,0,0,0,0,22,0,7,0,9,3,0,93,10,0,0,0,0,0,0,5,0,0,5,2528,2196,1970,1,123,85,5,12,332,0,332,329,82,123,112,7,5,3,0
50,AK,02,105,,,,05000US02105,"Hoonah-Angoon Census Area, Alaska",2107,1070,77,678,48,1,24,209,0,209,1257,138,834,66,1,24,678,14,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,607,14,8,23,554,0,8,26,0,27,48,0,0,0,0,0,6,28,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,866,47,2,0,0,2,0,15,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,16,4,785,14,37,57,668,0,9,30,0,66,0,0,0,0,0,12,34,0,0,11,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2107,1898,1070,77,678,48,1,24,209,0,209,205,38,130,15,19,3,4,0
50,AK,02,110,,,,05000US02110,"Juneau City and Borough, Alaska",32524,22575,381,4009,2332,324,251,2652,162,2490,24802,770,5921,3049,572,416,4009,337,15,0,0,0,0,60,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,27,61,11,0,0,8,16,0,0,30,0,18,0,62,27,3148,26,26,87,2871,10,128,386,0,111,2332,137,0,0,2,0,107,1773,0,0,98,23,0,0,0,5,0,11,22,0,12,25,0,6,111,324,80,163,0,14,13,54,0,0,0,0,0,6105,723,24,0,26,0,0,241,0,0,25,0,0,0,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,0,27,61,11,0,0,8,16,0,0,30,0,18,0,200,139,4738,109,61,256,4024,77,211,500,5,3204,148,0,0,8,0,253,2234,0,0,217,48,0,0,0,5,0,30,22,0,17,139,0,83,572,142,271,0,14,13,114,0,0,0,18,32524,29872,22575,381,4009,2332,324,251,2652,162,2490,2378,106,1378,306,153,435,194,80
50,AK,02,122,,,,05000US02122,"Kenai Peninsula Borough, Alaska",57637,48208,345,4338,761,190,399,3396,134,3262,51293,658,6957,1376,399,581,4338,308,15,0,6,0,0,25,0,3,20,42,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,4,0,0,0,32,0,0,10,22,0,0,3,0,0,4,0,109,12,3328,1052,940,392,175,35,734,582,0,108,761,0,0,0,0,19,67,450,0,0,20,118,0,0,0,0,0,2,23,0,3,49,0,0,10,190,168,0,0,0,21,0,1,0,0,0,0,7093,1050,19,0,22,11,0,304,0,3,157,74,0,7,0,29,4,1,0,0,17,0,0,3,6,0,13,4,0,0,0,32,0,42,17,28,0,0,3,0,0,4,0,250,35,4912,1663,1273,687,345,60,884,1082,14,1495,4,0,0,0,19,109,903,0,0,204,167,0,0,0,0,0,2,23,0,15,49,0,0,399,266,0,0,0,39,0,1,0,14,79,57637,54241,48208,345,4338,761,190,399,3396,134,3262,3171,209,2309,353,38,262,219,6
50,AK,02,130,,,,05000US02130,"Ketchikan Gateway Borough, Alaska",13715,9264,68,1834,1037,10,125,1377,15,1362,10509,227,2884,1321,103,152,1834,64,0,0,0,0,0,25,0,0,7,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,22,1247,60,73,28,881,198,7,238,0,263,1037,72,0,0,0,5,18,833,20,0,11,28,6,0,0,0,0,0,0,0,26,6,0,6,6,10,10,0,0,0,0,0,0,0,0,0,0,3336,325,0,0,28,1,0,80,0,0,25,14,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,9,0,0,0,0,0,62,0,0,0,0,7,15,0,47,36,2629,203,158,53,1585,609,21,337,9,1335,72,0,0,0,11,22,1018,20,0,53,45,6,0,0,0,0,0,0,0,31,30,0,27,103,52,10,0,0,0,0,0,0,0,41,13715,12338,9264,68,1834,1037,10,125,1377,15,1362,1277,74,878,170,13,142,96,4
