SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,ID,16,,,,,04000US16,Idaho,1635483,1493155,10433,21454,21630,2003,44758,42050,5205,36845,1532734,17717,39372,34787,5269,50615,21454,17653,197,98,216,64,40,1361,406,44,675,392,238,12,7,163,40,187,3,0,178,5,19,20,332,668,3,10,127,30,13,292,311,7,1074,769,26,0,25,68,133,30,0,9370,430,413,85,26,31,179,6,86,43,2253,662,21630,2345,27,38,389,89,4584,4086,92,246,2926,1727,1021,20,36,562,15,266,5,154,210,1718,238,246,590,2003,580,241,209,13,287,148,98,25,0,251,151,41147,33711,711,108,717,172,61,5539,449,215,1228,1369,506,102,100,213,84,261,82,0,668,5,19,21,745,1518,121,20,230,53,177,369,411,63,1492,1749,107,29,32,257,187,73,211,13237,930,613,114,57,64,273,8,97,45,5848,36055,3007,27,38,619,229,6743,7982,129,392,6866,2759,1264,34,128,573,27,279,5,247,546,2189,238,1734,5357,1950,727,288,37,534,166,324,133,0,1198,1635483,1593433,1493155,10433,21454,21630,2003,44758,42050,5205,36845,39282,5445,14950,10524,341,8022,2651,117
40,ID,16,,,,,04001US16,Idaho -- Urban,1165685,1057057,9408,10141,19122,1690,34750,33517,4269,29248,1088561,15395,23205,30425,4534,39536,10141,7806,129,44,33,25,0,955,397,15,375,255,131,11,0,141,30,149,3,0,173,5,19,20,161,414,0,0,92,0,7,243,277,0,384,442,26,0,24,40,23,7,0,2756,326,314,72,8,5,137,6,86,21,1447,227,19122,2181,27,38,389,83,4216,3337,92,246,2237,1521,1019,0,28,536,15,210,5,128,175,1597,238,214,590,1690,518,150,180,0,273,130,41,25,0,251,122,24378,19296,427,51,384,100,0,3783,424,145,758,1045,397,90,12,186,54,223,71,0,631,5,19,20,499,1060,97,10,153,0,136,302,354,56,712,1084,77,8,31,226,28,37,211,5390,746,422,88,18,25,199,6,86,21,3893,31361,2758,27,38,619,223,6124,6773,129,389,5203,2437,1255,14,100,547,27,222,5,181,459,1951,238,1642,4563,1678,538,223,18,500,130,244,133,0,1099,1165685,1132168,1057057,9408,10141,19122,1690,34750,33517,4269,29248,31202,4446,10746,9114,272,6624,2225,90
40,ID,16,,,,,04043US16,Idaho -- Rural,469798,436098,1025,11313,2508,313,10008,8533,936,7597,444173,2322,16167,4362,735,11079,11313,9847,68,54,183,39,40,406,9,29,300,137,107,1,7,22,10,38,0,0,5,0,0,0,171,254,3,10,35,30,6,49,34,7,690,327,0,0,1,28,110,23,0,6614,104,99,13,18,26,42,0,0,22,806,435,2508,164,0,0,0,6,368,749,0,0,689,206,2,20,8,26,0,56,0,26,35,121,0,32,0,313,62,91,29,13,14,18,57,0,0,0,29,16769,14415,284,57,333,72,61,1756,25,70,470,324,109,12,88,27,30,38,11,0,37,0,0,1,246,458,24,10,77,53,41,67,57,7,780,665,30,21,1,31,159,36,0,7847,184,191,26,39,39,74,2,11,24,1955,4694,249,0,0,0,6,619,1209,0,3,1663,322,9,20,28,26,0,57,0,66,87,238,0,92,794,272,189,65,19,34,36,80,0,0,99,469798,461265,436098,1025,11313,2508,313,10008,8533,936,7597,8080,999,4204,1410,69,1398,426,27
40,ID,16,,,,,040A0US16,Idaho -- In metropolitan or micropolitan statistical area,1497570,1365410,10185,18498,21054,1914,41466,39043,4728,34315,1402122,17168,34397,33827,4952,46785,18498,15085,179,98,63,61,40,1273,398,44,544,347,226,12,7,161,40,159,3,0,176,0,19,20,321,590,3,10,112,9,13,280,302,4,888,696,26,0,24,45,123,30,0,7739,395,399,80,23,31,173,6,86,42,1979,598,21054,2308,27,38,389,89,4445,3918,92,246,2764,1685,1021,20,36,546,15,266,5,150,202,1718,238,246,590,1914,534,231,209,13,283,119,98,25,0,251,151,35972,29365,657,105,484,161,61,4939,423,191,999,1256,494,102,100,206,83,233,82,0,640,0,19,20,643,1400,105,20,215,9,177,357,402,60,1306,1523,107,29,24,234,177,42,211,11069,830,578,109,54,51,261,6,97,44,5155,35092,2904,27,38,619,223,6583,7718,129,389,6592,2683,1257,34,108,557,27,278,5,239,533,2189,238,1722,5031,1748,696,259,31,530,137,324,127,0,1179,1497570,1458527,1365410,10185,18498,21054,1914,41466,39043,4728,34315,36598,5343,13315,10230,303,7407,2328,117
40,ID,16,,,,,040C0US16,Idaho -- In metropolitan statistical area,1086896,989372,7955,12967,16148,1426,28453,30575,3775,26800,1018212,13486,24828,26630,3639,32603,12967,10377,131,71,57,61,40,941,354,38,225,249,167,12,0,110,35,149,3,0,171,0,19,20,125,273,0,0,68,0,8,243,140,0,330,460,21,0,24,42,123,30,0,5637,352,286,72,14,26,141,6,27,26,1580,346,16148,1993,27,38,263,65,3503,2754,0,246,2219,1272,873,20,8,180,15,266,5,58,118,1511,51,207,456,1426,411,111,183,13,239,118,59,25,0,116,151,26067,21150,525,78,366,161,61,3667,379,168,418,991,430,102,36,155,59,223,71,0,570,0,19,20,421,830,68,10,85,0,96,317,240,40,629,944,35,8,24,225,160,42,211,8266,564,416,88,45,46,204,6,27,28,3909,27648,2441,27,38,493,91,5322,5730,37,389,5286,2199,1109,34,8,191,27,278,5,77,423,1908,51,1484,3688,1245,341,229,31,410,118,285,127,0,902,1086896,1056321,989372,7955,12967,16148,1426,28453,30575,3775,26800,28770,4273,9948,8541,248,5760,1727,78
40,ID,16,,,,,040C1US16,Idaho -- In metropolitan statistical area -- in principal city,412528,372118,4926,4432,9545,421,8389,12697,1467,11230,383948,7412,9418,14333,1002,9940,4432,3536,33,17,17,25,0,391,353,0,73,60,35,11,0,73,30,80,3,0,140,0,19,0,30,155,0,0,48,0,7,0,35,0,89,290,21,0,0,23,0,7,0,1471,104,205,72,0,0,100,6,27,19,523,45,9545,1538,0,38,263,21,2004,1207,0,215,1148,615,494,0,0,170,15,76,5,23,31,1064,51,168,399,421,175,48,16,0,142,0,0,0,0,40,0,9746,7762,60,24,110,46,0,1129,366,95,202,417,53,40,16,73,54,154,3,0,170,0,19,0,203,504,17,0,48,0,22,0,51,6,165,548,35,8,0,203,0,7,211,2703,221,235,72,10,20,100,6,27,19,1509,14934,1838,0,38,493,47,2848,2183,0,309,2658,1109,540,14,0,181,15,76,5,42,235,1276,51,976,1007,513,94,16,12,159,0,81,0,0,132,412528,399831,372118,4926,4432,9545,421,8389,12697,1467,11230,11877,1699,3935,3860,190,2193,812,8
40,ID,16,,,,,040C2US16,Idaho -- In metropolitan statistical area -- not in principal city,674368,617254,3029,8535,6603,1005,20064,17878,2308,15570,634264,6074,15410,12297,2637,22663,8535,6841,98,54,40,36,40,550,1,38,152,189,132,1,0,37,5,69,0,0,31,0,0,20,95,118,0,0,20,0,1,243,105,0,241,170,0,0,24,19,123,23,0,4166,248,81,0,14,26,41,0,0,7,1057,301,6603,455,27,0,0,44,1499,1547,0,31,1071,657,379,20,8,10,0,190,0,35,87,447,0,39,57,1005,236,63,167,13,97,118,59,25,0,76,151,16321,13388,465,54,256,115,61,2538,13,73,216,574,377,62,20,82,5,69,68,0,400,0,0,20,218,326,51,10,37,0,74,317,189,34,464,396,0,0,24,22,160,35,0,5563,343,181,16,35,26,104,0,0,9,2400,12714,603,27,0,0,44,2474,3547,37,80,2628,1090,569,20,8,10,12,202,0,35,188,632,0,508,2681,732,247,213,19,251,118,204,127,0,770,674368,656490,617254,3029,8535,6603,1005,20064,17878,2308,15570,16893,2574,6013,4681,58,3567,915,70
40,ID,16,,,,,040E0US16,Idaho -- In micropolitan statistical area,410674,376038,2230,5531,4906,488,13013,8468,953,7515,383910,3682,9569,7197,1313,14182,5531,4708,48,27,6,0,0,332,44,6,319,98,59,0,7,51,5,10,0,0,5,0,0,0,196,317,3,10,44,9,5,37,162,4,558,236,5,0,0,3,0,0,0,2102,43,113,8,9,5,32,0,59,16,399,252,4906,315,0,0,126,24,942,1164,92,0,545,413,148,0,28,366,0,0,0,92,84,207,187,39,134,488,123,120,26,0,44,1,39,0,0,135,0,9905,8215,132,27,118,0,0,1272,44,23,581,265,64,0,64,51,24,10,11,0,70,0,0,0,222,570,37,10,130,9,81,40,162,20,677,579,72,21,0,9,17,0,0,2803,266,162,21,9,5,57,0,70,16,1246,7444,463,0,0,126,132,1261,1988,92,0,1306,484,148,0,100,366,0,0,0,162,110,281,187,238,1343,503,355,30,0,120,19,39,0,0,277,410674,402206,376038,2230,5531,4906,488,13013,8468,953,7515,7828,1070,3367,1689,55,1647,601,39
40,ID,16,,,,,040E1US16,Idaho -- In micropolitan statistical area -- in principal city,150431,137041,1328,1477,3280,202,3550,3553,199,3354,140299,1994,2931,4456,679,3926,1477,1071,40,2,0,0,0,73,0,6,103,57,0,0,0,0,0,0,0,0,0,0,0,0,36,109,0,0,32,0,0,0,154,0,95,15,0,0,0,0,0,0,0,349,15,96,0,0,5,32,0,59,0,217,78,3280,251,0,0,126,0,750,464,73,0,355,310,78,0,28,366,0,0,0,72,22,142,104,5,134,202,45,0,0,0,14,0,8,0,0,135,0,3066,2295,76,2,34,0,0,393,0,6,111,119,5,0,4,0,0,0,0,0,25,0,0,0,44,227,29,0,93,0,71,0,154,16,95,165,0,0,0,6,0,0,0,620,144,111,0,0,5,47,0,59,0,516,4618,393,0,0,126,108,946,921,73,0,645,351,78,0,100,366,0,0,0,76,22,151,104,158,679,315,67,4,0,46,0,8,0,0,239,150431,146878,137041,1328,1477,3280,202,3550,3553,199,3354,3252,522,1247,932,25,526,301,0
40,ID,16,,,,,040E2US16,Idaho -- In micropolitan statistical area -- not in principal city,260243,238997,902,4054,1626,286,9463,4915,754,4161,243611,1688,6638,2741,634,10256,4054,3637,8,25,6,0,0,259,44,0,216,41,59,0,7,51,5,10,0,0,5,0,0,0,160,208,3,10,12,9,5,37,8,4,463,221,5,0,0,3,0,0,0,1753,28,17,8,9,0,0,0,0,16,182,174,1626,64,0,0,0,24,192,700,19,0,190,103,70,0,0,0,0,0,0,20,62,65,83,34,0,286,78,120,26,0,30,1,31,0,0,0,0,6839,5920,56,25,84,0,0,879,44,17,470,146,59,0,60,51,24,10,11,0,45,0,0,0,178,343,8,10,37,9,10,40,8,4,582,414,72,21,0,3,17,0,0,2183,122,51,21,9,0,10,0,11,16,730,2826,70,0,0,0,24,315,1067,19,0,661,133,70,0,0,0,0,0,0,86,88,130,83,80,664,188,288,26,0,74,19,31,0,0,38,260243,255328,238997,902,4054,1626,286,9463,4915,754,4161,4576,548,2120,757,30,1121,300,39
40,ID,16,,,,,040G0US16,Idaho -- Not in metropolitan or micropolitan statistical area,137913,127745,248,2956,576,89,3292,3007,477,2530,130612,549,4975,960,317,3830,2956,2568,18,0,153,3,0,88,8,0,131,45,12,0,0,2,0,28,0,0,2,5,0,0,11,78,0,0,15,21,0,12,9,3,186,73,0,0,1,23,10,0,0,1631,35,14,5,3,0,6,0,0,1,274,64,576,37,0,0,0,0,139,168,0,0,162,42,0,0,0,16,0,0,0,4,8,0,0,0,0,89,46,10,0,0,4,29,0,0,0,0,0,5175,4346,54,3,233,11,0,600,26,24,229,113,12,0,0,7,1,28,0,0,28,5,0,1,102,118,16,0,15,44,0,12,9,3,186,226,0,0,8,23,10,31,0,2168,100,35,5,3,13,12,2,0,1,693,963,103,0,0,0,6,160,264,0,3,274,76,7,0,20,16,0,1,0,8,13,0,0,12,326,202,31,29,6,4,29,0,6,0,19,137913,134906,127745,248,2956,576,89,3292,3007,477,2530,2684,102,1635,294,38,615,323,0
40,ID,16,,,,,040H0US16,Idaho -- Not in metropolitan statistical area,548587,503783,2478,8487,5482,577,16305,11475,1430,10045,514522,4231,14544,8157,1630,18012,8487,7276,66,27,159,3,0,420,52,6,450,143,71,0,7,53,5,38,0,0,7,5,0,0,207,395,3,10,59,30,5,49,171,7,744,309,5,0,1,26,10,0,0,3733,78,127,13,12,5,38,0,59,17,673,316,5482,352,0,0,126,24,1081,1332,92,0,707,455,148,0,28,382,0,0,0,96,92,207,187,39,134,577,169,130,26,0,48,30,39,0,0,135,0,15080,12561,186,30,351,11,0,1872,70,47,810,378,76,0,64,58,25,38,11,0,98,5,0,1,324,688,53,10,145,53,81,52,171,23,863,805,72,21,8,32,27,31,0,4971,366,197,26,12,18,69,2,70,17,1939,8407,566,0,0,126,138,1421,2252,92,3,1580,560,155,0,120,382,0,1,0,170,123,281,187,250,1669,705,386,59,6,124,48,39,6,0,296,548587,537112,503783,2478,8487,5482,577,16305,11475,1430,10045,10512,1172,5002,1983,93,2262,924,39
50,ID,16,001,,,,05000US16001,"Ada County, Idaho",425798,388813,5253,2439,10624,648,5692,12329,1224,11105,400192,7367,6539,16043,1747,7054,2439,1820,14,0,7,0,0,272,154,0,50,108,0,11,0,38,0,80,0,0,161,0,19,20,62,83,0,0,5,0,7,44,0,0,24,172,0,0,0,37,0,0,0,452,103,159,59,6,6,55,6,27,0,293,64,10624,1609,27,38,225,51,2380,1463,0,215,956,849,668,0,0,141,15,207,5,17,79,1130,51,168,330,648,102,6,139,13,191,100,0,0,0,97,0,6738,5347,15,0,93,11,0,1116,154,67,113,510,0,57,6,38,0,149,68,0,177,0,19,20,214,167,63,0,5,0,45,76,0,0,78,464,0,8,0,217,0,0,0,1397,191,207,75,12,26,61,6,27,0,993,16507,1920,27,38,441,51,3253,2860,37,300,2296,1175,763,8,0,152,27,219,5,36,314,1396,51,1138,1762,550,48,139,31,277,100,81,0,0,536,425798,413469,388813,5253,2439,10624,648,5692,12329,1224,11105,11590,1553,3239,4297,169,2332,700,39
50,ID,16,003,,,,05000US16003,"Adams County, Idaho",3865,3711,8,73,0,8,19,46,0,46,3757,13,110,4,8,19,73,41,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,153,131,0,0,11,0,0,42,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,13,0,0,13,0,0,0,0,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,3865,3819,3711,8,73,0,8,19,46,0,46,46,5,37,4,0,0,0,0
50,ID,16,005,,,,05000US16005,"Bannock County, Idaho",83815,75560,529,2654,1042,144,1254,2632,326,2306,78128,1162,3755,1722,352,1621,2654,2295,20,61,0,0,0,34,199,0,31,2,0,0,0,35,0,0,0,0,10,0,0,0,0,81,0,0,0,0,1,0,0,0,165,34,0,0,0,0,9,0,0,1613,51,0,0,0,0,0,0,0,0,278,30,1042,59,0,0,6,0,328,154,0,0,110,166,63,0,8,6,0,59,0,0,7,21,0,0,55,144,69,48,0,0,0,2,0,25,0,0,0,3810,3172,41,68,11,0,0,125,199,0,37,20,0,0,0,35,0,0,0,0,10,0,0,0,0,211,0,0,0,0,36,14,16,6,202,47,14,0,0,0,18,0,0,2062,90,15,0,15,0,0,0,0,0,533,1789,98,0,0,20,0,411,342,0,9,376,195,173,0,8,6,0,59,0,0,23,33,0,36,357,131,107,0,0,5,2,0,90,0,22,83815,81183,75560,529,2654,1042,144,1254,2632,326,2306,2370,405,839,586,23,517,238,24
50,ID,16,007,,,,05000US16007,"Bear Lake County, Idaho",5928,5685,46,17,32,3,84,61,33,28,5737,57,26,47,5,117,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,32,9,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,47,12,0,0,0,0,27,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5928,5867,5685,46,17,32,3,84,61,33,28,61,11,9,6,0,35,0,0
50,ID,16,009,,,,05000US16009,"Benewah County, Idaho",9068,7884,21,825,103,24,4,207,13,194,8062,98,992,111,24,17,825,779,0,0,5,3,0,12,0,0,23,0,12,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,12,0,3,11,0,0,0,0,0,10,0,0,677,18,3,0,3,0,0,0,0,1,24,0,103,0,0,0,0,0,27,46,0,0,7,20,0,0,0,0,0,0,0,0,3,0,0,0,0,24,21,3,0,0,0,0,0,0,0,0,0,997,865,0,3,5,3,0,12,0,6,23,0,12,0,0,7,0,0,0,0,5,0,0,0,0,2,5,0,7,0,0,12,0,3,11,5,0,0,0,0,10,0,0,734,24,7,0,3,0,4,0,0,1,100,111,3,0,0,0,0,27,46,0,0,7,20,0,0,0,0,0,0,0,0,8,0,0,0,24,21,3,0,0,0,0,0,0,0,0,9068,8861,7884,21,825,103,24,4,207,13,194,178,22,109,5,29,13,29,0
50,ID,16,011,,,,05000US16011,"Bingham County, Idaho",45261,38511,142,2545,466,22,2349,1226,206,1020,39532,186,3493,573,190,2708,2545,2434,0,0,6,0,0,13,0,0,87,5,0,0,7,0,5,0,0,0,0,0,0,0,0,146,0,0,9,9,0,37,0,4,424,108,0,0,0,0,0,0,0,1574,26,0,0,0,0,0,0,0,0,29,56,466,90,0,0,0,0,0,152,0,0,8,0,72,0,0,0,0,0,0,0,0,0,0,36,108,22,15,0,0,0,6,1,0,0,0,0,0,3565,3224,0,0,14,0,0,26,0,0,317,5,0,0,27,0,24,0,0,0,0,0,0,0,0,237,0,0,23,9,0,37,0,4,482,127,0,21,0,0,0,0,0,1871,105,0,0,0,0,0,0,0,0,236,681,198,0,0,0,108,8,170,0,0,86,0,72,0,0,0,0,0,0,0,0,0,0,39,208,165,18,0,0,6,19,0,0,0,0,45261,44035,38511,142,2545,466,22,2349,1226,206,1020,1031,44,707,11,0,269,195,0
50,ID,16,013,,,,05000US16013,"Blaine County, Idaho",21427,19717,25,9,243,61,1130,242,13,229,19949,90,37,384,66,1157,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,243,55,0,0,0,0,48,63,0,0,19,0,8,0,0,0,0,0,0,20,0,30,0,0,0,61,16,0,0,0,0,0,1,0,0,44,0,37,37,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,384,55,0,0,0,0,62,68,0,0,64,0,8,0,0,0,0,0,0,77,0,50,0,0,66,16,0,0,0,0,0,1,0,0,49,21427,21185,19717,25,9,243,61,1130,242,13,229,228,60,28,122,0,18,14,0
50,ID,16,015,,,,05000US16015,"Boise County, Idaho",6891,6531,31,127,27,26,16,133,12,121,6660,52,204,31,49,28,127,21,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,3,0,0,3,0,0,0,0,74,1,27,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,26,0,0,0,0,0,0,26,0,0,0,0,222,104,0,0,0,0,0,34,0,11,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,4,28,3,0,0,3,0,0,0,0,87,31,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,49,0,0,0,0,0,0,49,0,0,0,6891,6758,6531,31,127,27,26,16,133,12,121,133,21,77,0,0,35,0,0
50,ID,16,017,,,,05000US16017,"Bonner County, Idaho",41389,39482,43,257,219,63,235,1090,83,1007,40464,233,857,540,158,318,257,172,0,2,0,0,0,78,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,24,0,9,0,9,0,0,0,0,0,22,54,219,0,0,0,0,0,7,163,0,0,41,0,0,0,0,0,0,0,0,0,0,7,0,1,0,63,3,32,19,0,9,0,0,0,0,0,0,921,701,0,2,37,0,0,343,0,17,19,25,0,0,31,17,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,88,30,0,0,0,15,0,0,57,0,22,13,9,0,0,0,0,0,198,625,0,0,0,0,0,115,326,0,0,144,16,0,0,0,0,0,0,0,0,16,7,0,1,158,73,32,19,0,33,0,0,0,0,1,41389,40299,39482,43,257,219,63,235,1090,83,1007,1003,131,472,181,2,217,83,4
50,ID,16,019,,,,05000US16019,"Bonneville County, Idaho",108989,97758,476,399,973,77,6559,2747,483,2264,100444,1037,1461,1687,149,7177,399,273,0,10,0,0,0,27,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,12,42,0,0,48,0,0,0,0,0,7,67,21,0,0,0,0,0,0,20,19,31,13,0,0,18,0,0,0,76,0,973,54,0,0,0,14,191,157,0,0,303,99,12,0,0,23,0,0,0,0,0,115,0,0,5,77,19,0,21,0,0,10,27,0,0,0,0,1839,1420,0,10,19,0,0,518,0,0,24,38,0,0,8,0,14,0,3,0,352,0,0,0,32,42,0,10,48,0,0,0,0,0,8,98,21,0,0,0,0,0,0,175,26,31,13,0,0,18,0,0,0,362,1755,54,0,0,0,40,266,227,0,7,716,151,43,0,0,23,0,0,0,0,16,115,0,97,149,84,0,21,0,0,10,27,0,0,7,108989,106242,97758,476,399,973,77,6559,2747,483,2264,2528,497,851,610,13,557,219,0
50,ID,16,021,,,,05000US16021,"Boundary County, Idaho",11141,10445,17,185,44,0,84,366,0,366,10811,129,457,132,6,84,185,155,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,133,0,5,0,0,0,5,0,0,0,25,0,44,28,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,297,0,0,0,0,0,32,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,1,22,2,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,210,0,5,0,0,0,5,0,0,0,155,132,84,0,0,0,0,13,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,6,0,0,11141,10775,10445,17,185,44,0,84,366,0,366,254,0,160,88,0,6,112,0
50,ID,16,023,,,,05000US16023,"Butte County, Idaho",2592,2537,31,4,0,0,14,6,0,6,2543,34,7,0,0,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592,2586,2537,31,4,0,0,14,6,0,6,6,3,3,0,0,0,0,0
50,ID,16,025,,,,05000US16025,"Camas County, Idaho",968,927,0,3,0,0,36,2,0,2,929,0,5,0,0,36,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,966,927,0,3,0,0,36,2,0,2,2,0,2,0,0,0,0,0
