SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MD,24,,,,,04000US24,Maryland,5959902,3408240,1765926,15946,362259,2792,218586,186153,21051,165102,3557592,1868805,61490,424925,10233,242195,15946,10573,203,0,566,111,208,1849,0,11,274,188,0,47,10,129,25,134,26,0,127,14,869,0,1526,406,177,41,0,111,16,102,0,7,0,195,624,108,29,5,0,10,0,2425,1002,248,17,0,172,59,0,0,0,3657,466,362259,91149,4177,274,4785,2816,78306,47526,111,2501,7302,49159,1085,247,334,6170,0,18911,3281,3994,4153,27077,53,3266,5582,2792,790,362,91,110,707,13,78,14,7,466,154,64022,43111,828,23,4392,192,511,15307,157,352,651,725,0,122,25,490,98,427,51,0,1215,44,2123,19,3109,668,274,48,0,149,109,208,46,515,67,784,2008,166,29,26,41,60,17,7035,3613,413,90,0,213,91,13,6,18,16867,433156,99511,4436,299,5206,3491,91357,64204,162,3456,15065,58105,1419,486,371,6379,74,20244,3542,4503,6523,30601,129,13593,10456,2616,863,172,219,1359,13,230,27,22,4935,5959902,5773749,3408240,1765926,15946,362259,2792,218586,186153,21051,165102,168603,61501,18985,41619,11795,34703,15984,1566
40,MD,24,,,,,04001US24,Maryland -- Urban,5206141,2756894,1701386,14168,347654,2570,214383,169086,19324,149762,2891672,1795454,55019,405256,9532,236090,14168,9403,182,0,540,105,201,1578,0,11,249,158,0,23,10,129,22,106,26,0,98,14,785,0,1506,356,177,41,0,106,16,56,0,0,0,183,554,108,29,0,0,10,0,2024,931,248,17,0,172,59,0,0,0,3191,395,347654,87268,3964,274,4765,2576,74873,45396,111,2472,6918,47197,1060,235,334,6170,0,17798,3244,3895,3898,26447,53,3202,5504,2570,682,345,91,110,660,13,52,14,7,442,154,57404,38452,717,23,3941,160,497,13814,147,336,494,669,0,56,25,466,95,346,51,0,1050,44,2002,19,3052,579,257,48,0,144,58,162,46,446,67,727,1805,166,29,21,41,39,17,5796,3179,413,90,0,213,91,13,6,17,15343,413272,95229,4223,299,5186,3251,87057,60517,162,3278,14182,55394,1386,446,371,6379,74,19129,3485,4398,6031,29906,129,12760,9755,2253,832,172,219,1239,13,204,27,22,4774,5206141,5037055,2756894,1701386,14168,347654,2570,214383,169086,19324,149762,152777,55484,16094,37969,11021,32209,14891,1418
40,MD,24,,,,,04043US24,Maryland -- Rural,753761,651346,64540,1778,14605,222,4203,17067,1727,15340,665920,73351,6471,19669,701,6105,1778,1170,21,0,26,6,7,271,0,0,25,30,0,24,0,0,3,28,0,0,29,0,84,0,20,50,0,0,0,5,0,46,0,7,0,12,70,0,0,5,0,0,0,401,71,0,0,0,0,0,0,0,0,466,71,14605,3881,213,0,20,240,3433,2130,0,29,384,1962,25,12,0,0,0,1113,37,99,255,630,0,64,78,222,108,17,0,0,47,0,26,0,0,24,0,6618,4659,111,0,451,32,14,1493,10,16,157,56,0,66,0,24,3,81,0,0,165,0,121,0,57,89,17,0,0,5,51,46,0,69,0,57,203,0,0,5,0,21,0,1239,434,0,0,0,0,0,0,0,1,1524,19884,4282,213,0,20,240,4300,3687,0,178,883,2711,33,40,0,0,0,1115,57,105,492,695,0,833,701,363,31,0,0,120,0,26,0,0,161,753761,736694,651346,64540,1778,14605,222,4203,17067,1727,15340,15826,6017,2891,3650,774,2494,1093,148
40,MD,24,,,,,040A0US24,Maryland -- In metropolitan or micropolitan statistical area,5877753,3336677,1758379,15835,361772,2770,217924,184396,20894,163502,3484463,1860183,60923,424150,10176,241349,15835,10480,203,0,558,105,208,1828,0,11,274,188,0,47,10,129,22,106,26,0,127,14,867,0,1526,406,177,41,0,111,16,102,0,7,0,192,602,108,29,5,0,10,0,2425,1002,248,17,0,172,59,0,0,0,3639,466,361772,91047,4177,274,4785,2814,78114,47478,111,2501,7280,49111,1085,247,334,6170,0,18863,3281,3991,4152,27060,53,3266,5578,2770,784,355,91,110,707,13,69,14,7,466,154,63455,42725,818,23,4380,166,511,15108,157,352,651,715,0,122,25,490,95,390,51,0,1191,44,2121,19,3109,662,274,48,0,149,109,208,46,515,67,781,1986,166,29,26,41,60,17,7003,3606,413,90,0,213,91,13,6,18,16693,432377,99324,4436,299,5206,3489,91152,64086,162,3456,14982,58009,1419,486,371,6379,74,20194,3542,4500,6522,30580,129,13580,10399,2597,856,172,219,1359,13,221,27,22,4913,5877753,5693357,3336677,1758379,15835,361772,2770,217924,184396,20894,163502,166936,60654,18694,41413,11702,34473,15894,1566
40,MD,24,,,,,040C0US24,Maryland -- In metropolitan statistical area,5807634,3283888,1745106,15729,360895,2732,217009,182275,20680,161595,3430058,1845965,59575,423025,10130,240157,15729,10408,182,0,558,105,208,1787,0,11,274,188,0,47,10,129,22,106,26,0,127,14,862,0,1526,401,177,41,0,111,16,102,0,7,0,192,602,108,29,5,0,10,0,2425,1002,248,17,0,172,59,0,0,0,3622,449,360895,90913,4177,274,4785,2723,77797,47366,111,2501,7243,49055,1085,247,334,6170,0,18856,3281,3986,4105,26989,53,3266,5578,2732,746,355,91,110,707,13,69,14,7,466,154,61995,41742,756,23,4247,160,511,14752,115,352,651,715,0,81,25,490,95,358,51,0,1176,44,2100,19,3083,657,257,48,0,149,109,208,46,515,67,781,1986,166,29,26,41,60,17,6776,3591,413,90,0,213,91,13,6,18,16231,431244,99190,4436,299,5206,3398,90811,63913,162,3456,14945,57892,1419,486,371,6379,74,20187,3542,4495,6475,30501,129,13478,10353,2559,856,172,219,1351,13,221,27,22,4913,5807634,5625359,3283888,1745106,15729,360895,2732,217009,182275,20680,161595,164909,60147,17972,41263,11302,34225,15800,1566
40,MD,24,,,,,040C1US24,Maryland -- In metropolitan statistical area -- in principal city,1240795,572411,506370,3324,78238,699,40730,39023,4059,34964,603892,527871,12852,91533,2777,45445,3324,2404,120,0,305,0,156,478,0,0,73,20,0,0,0,0,0,19,0,0,49,0,68,0,235,65,7,5,0,19,0,0,0,0,0,50,150,78,0,0,0,10,0,497,125,0,0,0,0,0,0,0,0,760,35,78238,17753,824,105,1226,556,20568,7876,0,502,2388,10350,179,59,174,2028,0,3148,906,1354,849,5213,25,760,1395,699,217,62,0,0,157,13,0,6,0,236,8,13549,9691,269,0,1436,31,220,3475,38,162,110,183,0,33,15,61,30,77,12,0,241,17,464,11,420,185,52,5,0,19,16,24,18,86,63,192,410,78,0,0,41,10,0,1187,703,6,6,0,0,0,0,0,3,3146,93640,19452,907,105,1436,677,24060,10691,0,653,4515,12193,216,93,209,2082,0,3267,1016,1575,1161,5978,50,3304,2808,776,216,0,50,240,13,26,19,0,1468,1240795,1201772,572411,506370,3324,78238,699,40730,39023,4059,34964,34834,12483,3739,9245,2637,6730,3833,356
40,MD,24,,,,,040C2US24,Maryland -- In metropolitan statistical area -- not in principal city,4566839,2711477,1238736,12405,282657,2033,176279,143252,16621,126631,2826166,1318094,46723,331492,7353,194712,12405,8004,62,0,253,105,52,1309,0,11,201,168,0,47,10,129,22,87,26,0,78,14,794,0,1291,336,170,36,0,92,16,102,0,7,0,142,452,30,29,5,0,0,0,1928,877,248,17,0,172,59,0,0,0,2862,414,282657,73160,3353,169,3559,2167,57229,39490,111,1999,4855,38705,906,188,160,4142,0,15708,2375,2632,3256,21776,28,2506,4183,2033,529,293,91,110,550,0,69,8,7,230,146,48446,32051,487,23,2811,129,291,11277,77,190,541,532,0,48,10,429,65,281,39,0,935,27,1636,8,2663,472,205,43,0,130,93,184,28,429,4,589,1576,88,29,26,0,50,17,5589,2888,407,84,0,213,91,13,6,15,13085,337604,79738,3529,194,3770,2721,66751,53222,162,2803,10430,45699,1203,393,162,4297,74,16920,2526,2920,5314,24523,79,10174,7545,1783,640,172,169,1111,0,195,8,22,3445,4566839,4423587,2711477,1238736,12405,282657,2033,176279,143252,16621,126631,130075,47664,14233,32018,8665,27495,11967,1210
40,MD,24,,,,,040E0US24,Maryland -- In micropolitan statistical area,70119,52789,13273,106,877,38,915,2121,214,1907,54405,14218,1348,1125,46,1192,106,72,21,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,877,134,0,0,0,91,317,112,0,0,37,56,0,0,0,0,0,7,0,5,47,71,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,1460,983,62,0,133,6,0,356,42,0,0,0,0,41,0,0,0,32,0,0,15,0,21,0,26,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,15,0,0,0,0,0,0,0,0,462,1133,134,0,0,0,91,341,173,0,0,37,117,0,0,0,0,0,7,0,5,47,79,0,102,46,38,0,0,0,8,0,0,0,0,0,70119,67998,52789,13273,106,877,38,915,2121,214,1907,2027,507,722,150,400,248,94,0
40,MD,24,,,,,040E1US24,Maryland -- In micropolitan statistical area -- in principal city,29189,18939,8037,28,522,0,439,1224,135,1089,19737,8585,910,615,0,637,28,17,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,522,122,0,0,0,91,158,70,0,0,20,18,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,527,0,0,45,0,0,225,42,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,14,0,0,0,0,0,0,0,0,369,623,122,0,0,0,91,158,70,0,0,20,18,0,0,0,0,0,0,0,0,0,51,0,93,0,0,0,0,0,0,0,0,0,0,0,29189,27965,18939,8037,28,522,0,439,1224,135,1089,1153,207,452,0,333,161,71,0
40,MD,24,,,,,040E2US24,Maryland -- In micropolitan statistical area -- not in principal city,40930,33850,5236,78,355,38,476,897,79,818,34668,5633,438,510,46,555,78,55,21,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,355,12,0,0,0,0,159,42,0,0,17,38,0,0,0,0,0,7,0,5,47,28,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,550,456,62,0,88,6,0,131,0,0,0,0,0,41,0,0,0,32,0,0,0,0,21,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,93,510,12,0,0,0,0,183,103,0,0,17,99,0,0,0,0,0,7,0,5,47,28,0,9,46,38,0,0,0,8,0,0,0,0,0,40930,40033,33850,5236,78,355,38,476,897,79,818,874,300,270,150,67,87,23,0
40,MD,24,,,,,040G0US24,Maryland -- Not in metropolitan or micropolitan statistical area,82149,71563,7547,111,487,22,662,1757,157,1600,73129,8622,567,775,57,846,111,93,0,0,8,6,0,21,0,0,0,0,0,0,0,0,3,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,487,102,0,0,0,2,192,48,0,0,22,48,0,0,0,0,0,48,0,3,1,17,0,0,4,22,6,7,0,0,0,0,9,0,0,0,0,567,386,10,0,12,26,0,199,0,0,0,10,0,0,0,0,3,37,0,0,24,0,2,0,0,6,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,174,779,187,0,0,0,2,205,118,0,0,83,96,0,0,0,0,0,50,0,3,1,21,0,13,57,19,7,0,0,0,0,9,0,0,22,82149,80392,71563,7547,111,487,22,662,1757,157,1600,1667,847,291,206,93,230,90,0
40,MD,24,,,,,040H0US24,Maryland -- Not in metropolitan statistical area,152268,124352,20820,217,1364,60,1577,3878,371,3507,127534,22840,1915,1900,103,2038,217,165,21,0,8,6,0,62,0,0,0,0,0,0,0,0,3,28,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,1364,236,0,0,0,93,509,160,0,0,59,104,0,0,0,0,0,55,0,8,48,88,0,0,4,60,44,7,0,0,0,0,9,0,0,0,0,2027,1369,72,0,145,32,0,555,42,0,0,10,0,41,0,0,3,69,0,0,39,0,23,0,26,11,17,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,259,22,0,0,0,0,0,0,0,0,636,1912,321,0,0,0,93,546,291,0,0,120,213,0,0,0,0,0,57,0,8,48,100,0,115,103,57,7,0,0,8,0,9,0,0,22,152268,148390,124352,20820,217,1364,60,1577,3878,371,3507,3694,1354,1013,356,493,478,184,0
50,MD,24,001,,,,05000US24001,"Allegany County, Maryland",73060,64695,6021,118,580,34,167,1445,96,1349,65915,6879,578,934,83,285,118,89,3,0,4,0,0,29,0,0,11,10,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,16,9,580,180,0,0,0,0,159,95,0,0,17,28,0,0,0,7,0,0,0,0,9,75,0,10,0,34,11,10,0,0,4,0,9,0,0,0,0,640,558,36,0,35,0,0,267,30,0,11,18,0,0,8,0,0,13,0,0,17,0,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,14,0,0,0,0,0,0,0,0,68,941,217,0,0,0,0,185,175,0,10,27,129,0,0,0,7,0,0,0,0,24,75,0,92,83,11,24,0,0,4,0,9,0,0,35,73060,71615,64695,6021,118,580,34,167,1445,96,1349,1289,581,186,223,130,169,143,13
50,MD,24,003,,,,05000US24003,"Anne Arundel County, Maryland",559737,416331,89001,1222,20103,383,12470,20227,1358,18869,434008,99506,5803,27137,1431,14111,1222,800,6,0,7,0,0,193,0,0,7,15,0,0,0,0,0,0,0,0,15,0,118,0,154,40,8,0,0,0,11,2,0,0,0,35,23,0,0,0,0,0,0,166,118,14,3,0,11,0,0,0,0,229,61,20103,3530,293,25,0,370,2686,4332,0,48,607,3332,88,34,0,539,0,1121,245,119,467,1640,12,308,307,383,140,90,41,0,35,0,11,0,0,66,0,6030,4216,52,0,186,0,0,1536,0,86,86,66,0,0,0,53,0,54,0,0,58,0,238,0,551,94,16,0,0,0,11,52,0,213,0,80,159,0,0,21,0,40,0,564,263,57,3,0,41,0,13,0,0,1494,27772,3951,313,25,0,474,3690,6590,0,108,1499,4714,153,78,0,611,45,1217,268,202,1198,2018,12,606,1431,427,121,110,7,112,0,121,0,0,533,559737,539510,416331,89001,1222,20103,383,12470,20227,1358,18869,18252,7389,2597,4788,871,2607,1918,57
50,MD,24,005,,,,05000US24005,"Baltimore County, Maryland",825666,519063,226879,2110,47772,394,7828,21620,2162,19458,536961,239439,7086,54455,1177,10144,2110,1387,47,0,111,0,0,163,0,11,92,40,0,0,0,79,0,17,26,0,9,0,390,0,24,19,0,0,0,0,0,0,0,0,0,26,77,30,0,0,0,0,0,226,65,57,14,0,0,43,0,0,0,473,128,47772,13318,256,64,1310,42,7647,7579,0,298,655,5564,39,30,0,1719,0,4449,269,291,359,2340,0,899,644,394,64,19,50,24,230,0,0,0,0,7,0,7487,5000,86,8,696,0,6,1860,0,11,99,95,0,0,0,159,0,17,26,0,246,0,737,0,30,33,0,0,0,0,4,0,0,5,4,46,119,30,0,0,0,0,17,666,490,124,81,0,0,43,0,0,0,1873,55436,14305,256,89,1404,65,8864,9725,0,395,1166,6450,48,90,0,1763,0,4649,331,299,409,2727,0,2401,1199,216,110,50,41,258,0,7,0,0,517,825666,804046,519063,226879,2110,47772,394,7828,21620,2162,19458,19811,8435,2160,4636,1092,3488,1657,152
50,MD,24,009,,,,05000US24009,"Calvert County, Maryland",90527,73873,11124,77,1371,0,530,3552,110,3442,77166,13054,989,2373,187,640,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1371,175,0,0,0,0,287,500,0,0,200,29,0,0,0,145,0,0,0,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,842,0,0,104,0,0,412,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,9,0,120,0,0,0,0,0,0,0,99,40,0,0,0,0,0,0,0,0,149,2373,182,0,0,0,0,410,953,0,72,348,73,15,0,0,145,0,0,0,28,57,12,0,78,187,175,0,0,0,0,0,0,0,0,12,90527,86975,73873,11124,77,1371,0,530,3552,110,3442,3284,1473,567,843,76,325,206,62
50,MD,24,011,,,,05000US24011,"Caroline County, Maryland",32653,26419,4411,30,187,16,623,967,88,879,27258,4976,273,374,29,722,30,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,187,52,0,0,0,0,52,28,0,0,8,28,0,0,0,0,0,14,0,0,0,1,0,0,4,16,0,7,0,0,0,0,9,0,0,0,0,273,166,10,0,12,0,0,115,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,107,378,134,0,0,0,0,58,63,0,0,68,34,0,0,0,0,0,16,0,0,0,5,0,0,29,13,7,0,0,0,0,9,0,0,0,32653,31686,26419,4411,30,187,16,623,967,88,879,955,433,179,127,55,161,12,0
50,MD,24,013,,,,05000US24013,"Carroll County, Maryland",167535,155174,5538,306,2734,57,552,3174,522,2652,157725,7171,887,3826,141,1112,306,223,0,0,0,0,0,99,0,0,0,4,0,0,0,0,0,0,0,0,20,0,11,0,0,37,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,35,52,0,0,0,0,0,0,0,0,31,0,2734,770,0,0,0,0,490,414,0,10,107,403,0,0,0,74,0,280,0,0,44,53,0,59,30,57,2,0,0,0,34,0,0,0,0,21,0,895,548,17,0,32,0,0,187,0,21,43,10,0,0,0,0,0,0,0,0,32,0,11,0,7,37,0,0,0,38,0,8,0,33,0,9,5,0,0,0,0,0,0,58,69,0,0,0,0,0,0,0,0,278,3876,897,0,0,0,0,752,737,0,45,189,611,0,20,0,74,0,280,0,0,110,60,0,101,141,41,0,0,0,34,0,9,0,0,57,167535,164361,155174,5538,306,2734,57,552,3174,522,2652,3021,1035,383,807,78,718,153,0
50,MD,24,015,,,,05000US24015,"Cecil County, Maryland",102175,90516,6847,245,1367,42,962,2196,84,2112,92604,8078,929,1791,146,1064,245,78,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,41,17,0,0,0,0,0,0,0,0,130,20,1367,276,0,0,0,0,217,310,0,0,58,159,0,0,0,0,0,143,0,0,33,108,0,0,63,42,17,0,0,0,25,0,0,0,0,0,0,949,651,2,0,0,0,0,380,0,0,0,57,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,74,0,0,0,0,0,0,91,17,0,0,0,0,0,0,0,0,281,1854,339,0,0,0,0,268,423,0,9,296,211,0,0,0,0,0,143,0,0,33,119,0,13,146,109,0,0,0,25,0,0,0,0,12,102175,99979,90516,6847,245,1367,42,962,2196,84,2112,1973,1034,410,269,51,209,205,18
50,MD,24,017,,,,05000US24017,"Charles County, Maryland",154357,73744,65796,1026,4760,162,1169,7700,370,7330,79313,71546,3349,6542,540,1654,1026,866,0,0,0,0,0,148,0,0,12,31,0,24,0,12,0,7,0,0,0,0,35,0,0,11,0,0,0,0,0,92,0,0,0,0,18,0,0,0,0,0,0,476,60,0,0,0,0,0,0,0,0,76,24,4760,783,46,0,4,44,640,2045,0,23,56,354,5,0,0,0,0,215,0,6,15,472,0,39,13,162,41,0,0,0,58,0,0,0,0,0,63,3373,2704,0,0,302,0,0,807,10,0,12,39,0,24,0,12,0,64,0,0,0,0,35,0,0,11,0,0,0,0,0,92,0,0,0,24,18,0,0,0,0,0,0,1254,176,0,0,0,0,0,0,0,0,493,6627,929,46,0,4,95,878,3011,12,23,164,556,17,0,0,0,0,233,0,16,70,489,0,84,603,141,0,0,0,139,0,0,0,0,323,154357,146657,73744,65796,1026,4760,162,1169,7700,370,7330,6868,3211,393,1023,1328,913,777,55
50,MD,24,019,,,,05000US24019,"Dorchester County, Maryland",32451,21527,9101,27,352,0,567,877,60,817,22225,9568,396,535,0,690,27,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,352,37,0,0,0,91,2,59,0,0,20,42,0,0,0,0,0,7,0,0,38,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,417,41,0,109,0,0,78,42,0,0,0,0,41,0,0,0,6,0,0,0,0,0,0,26,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,86,543,37,0,0,0,91,22,120,0,0,20,42,0,0,0,0,0,7,0,0,38,64,0,102,0,0,0,0,0,0,0,0,0,0,0,32451,31574,21527,9101,27,352,0,567,877,60,817,791,363,183,85,74,86,86,0
50,MD,24,021,,,,05000US24021,"Frederick County, Maryland",243465,197960,22196,646,10701,146,4187,7629,842,6787,204242,26255,2273,13284,540,5175,646,534,10,0,0,0,39,78,0,0,5,20,0,0,0,0,0,19,0,0,0,0,6,0,12,47,81,36,0,5,0,0,0,0,0,19,59,0,0,5,0,0,0,93,4,16,0,0,0,16,0,0,0,92,0,10701,2991,54,0,701,65,1788,1244,0,23,151,1217,135,0,0,158,0,749,67,50,207,769,0,106,226,146,85,10,0,0,44,0,0,0,7,0,0,2404,1875,25,0,80,0,39,604,5,38,5,63,0,0,0,0,0,19,0,0,102,0,10,0,49,76,93,36,0,5,0,0,18,0,3,78,205,33,0,5,0,0,0,284,17,43,6,0,0,37,0,0,0,469,13595,3321,54,0,843,83,2298,1831,0,23,508,1620,186,8,0,158,0,811,67,60,301,911,0,512,540,139,10,0,0,58,0,26,0,22,285,243465,235836,197960,22196,646,10701,146,4187,7629,842,6787,7016,2787,871,1662,148,1548,551,62
50,MD,24,023,,,,05000US24023,"Garrett County, Maryland",29677,28842,187,45,93,6,15,489,65,424,29308,475,160,156,6,80,45,45,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0,2,41,19,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,160,126,0,0,0,0,0,66,0,0,0,10,0,0,0,0,3,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,27,156,1,0,0,0,2,45,32,0,0,11,52,0,0,0,0,0,0,0,0,0,0,0,13,6,6,0,0,0,0,0,0,0,0,0,29677,29188,28842,187,45,93,6,15,489,65,424,470,269,73,63,0,65,19,0
50,MD,24,025,,,,05000US24025,"Harford County, Maryland",249776,199268,33742,443,6478,8,2806,7031,897,6134,204962,37242,1744,9351,196,3810,443,258,0,0,14,0,0,68,0,0,0,15,0,0,0,0,22,0,0,0,20,0,36,0,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,7,0,0,7,0,0,0,0,130,8,6478,1555,41,0,10,14,840,1218,72,56,192,1462,42,0,0,30,0,190,0,11,183,447,0,28,87,8,8,0,0,0,0,0,0,0,0,0,0,1752,1042,66,0,75,0,0,498,0,0,3,26,0,0,0,0,22,12,0,0,49,0,144,0,17,12,33,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,71,100,7,0,0,7,0,0,0,6,597,9509,1659,41,0,10,45,1300,1930,72,99,502,1880,76,9,0,30,11,197,0,11,396,539,0,702,196,53,0,0,0,11,0,0,0,0,132,249776,242745,199268,33742,443,6478,8,2806,7031,897,6134,6550,2399,848,1867,130,1306,464,17
