SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,HI,15,,,,,04000US15,Hawaii,1413673,353643,25871,2715,537363,143973,13479,336629,10612,326017,603260,46376,32621,798943,370009,33837,2715,1986,153,0,56,0,5,511,0,25,10,33,0,0,0,54,30,0,48,0,28,0,7,12,224,247,0,8,17,0,0,32,25,4,27,51,24,7,17,6,0,24,15,286,44,109,18,46,8,21,0,16,30,462,84,537363,2507,56,0,178,486,54645,209323,58,507,181998,22924,2059,22,171,290,2131,118,203,721,1928,10766,46,481,45745,143973,90054,15472,3347,661,2866,8115,17645,165,22,817,4809,34051,24411,1531,23,1773,197,85,10958,117,339,425,1098,9,73,176,165,153,108,133,0,770,88,33,43,780,756,87,75,71,56,52,123,59,161,251,1128,384,44,53,6,9,200,38,1781,727,709,46,206,257,70,0,130,45,8159,961595,4698,164,0,241,892,196904,360563,58,1218,315834,47713,3128,111,235,326,7147,340,264,922,3719,14644,73,2401,389797,303558,35237,6237,4542,6766,8905,20612,373,35,3532,1413673,1077044,353643,25871,2715,537363,143973,13479,336629,10612,326017,216276,5377,9604,72398,1404,127493,107477,12876
40,HI,15,,,,,04001US15,Hawaii -- Urban,1307570,310514,25257,2331,518853,128496,12445,309674,9927,299747,539292,44407,29091,761649,335605,31709,2331,1707,119,0,56,0,4,434,0,25,3,28,0,0,0,54,30,0,13,0,27,0,7,12,160,241,0,8,0,0,0,32,23,4,27,49,24,7,14,6,0,24,15,261,34,89,15,35,4,19,0,16,30,387,84,518853,2437,55,0,178,452,53806,200427,58,412,175583,22628,2057,22,171,290,2058,114,203,712,1745,10673,46,478,44248,128496,77156,15315,3288,617,2764,7201,16960,165,22,687,4321,30386,21771,1301,23,1631,197,80,9606,80,323,286,1024,3,69,176,165,153,108,98,0,732,88,28,43,588,750,87,75,54,24,52,123,57,155,241,1092,361,44,41,6,9,156,15,1627,666,500,43,191,75,68,0,123,45,7404,915315,4565,62,0,241,858,187395,340995,58,1025,301555,46055,3119,111,235,326,6883,336,264,902,3431,14503,73,2323,354379,272106,34275,5824,4297,6516,7915,19857,331,35,3223,1307570,997896,310514,25257,2331,518853,128496,12445,309674,9927,299747,198618,4876,8192,67957,1339,116254,99079,11977
40,HI,15,,,,,04043US15,Hawaii -- Rural,106103,43129,614,384,18510,15477,1034,26955,685,26270,63968,1969,3530,37294,34404,2128,384,279,34,0,0,0,1,77,0,0,7,5,0,0,0,0,0,0,35,0,1,0,0,0,64,6,0,0,17,0,0,0,2,0,0,2,0,0,3,0,0,0,0,25,10,20,3,11,4,2,0,0,0,75,0,18510,70,1,0,0,34,839,8896,0,95,6415,296,2,0,0,0,73,4,0,9,183,93,0,3,1497,15477,12898,157,59,44,102,914,685,0,0,130,488,3665,2640,230,0,142,0,5,1352,37,16,139,74,6,4,0,0,0,0,35,0,38,0,5,0,192,6,0,0,17,32,0,0,2,6,10,36,23,0,12,0,0,44,23,154,61,209,3,15,182,2,0,7,0,755,46280,133,102,0,0,34,9509,19568,0,193,14279,1658,9,0,0,0,264,4,0,20,288,141,0,78,35418,31452,962,413,245,250,990,755,42,0,309,106103,79148,43129,614,384,18510,15477,1034,26955,685,26270,17658,501,1412,4441,65,11239,8398,899
40,HI,15,,,,,040A0US15,Hawaii -- In metropolitan or micropolitan statistical area,1413673,353643,25871,2715,537363,143973,13479,336629,10612,326017,603260,46376,32621,798943,370009,33837,2715,1986,153,0,56,0,5,511,0,25,10,33,0,0,0,54,30,0,48,0,28,0,7,12,224,247,0,8,17,0,0,32,25,4,27,51,24,7,17,6,0,24,15,286,44,109,18,46,8,21,0,16,30,462,84,537363,2507,56,0,178,486,54645,209323,58,507,181998,22924,2059,22,171,290,2131,118,203,721,1928,10766,46,481,45745,143973,90054,15472,3347,661,2866,8115,17645,165,22,817,4809,34051,24411,1531,23,1773,197,85,10958,117,339,425,1098,9,73,176,165,153,108,133,0,770,88,33,43,780,756,87,75,71,56,52,123,59,161,251,1128,384,44,53,6,9,200,38,1781,727,709,46,206,257,70,0,130,45,8159,961595,4698,164,0,241,892,196904,360563,58,1218,315834,47713,3128,111,235,326,7147,340,264,922,3719,14644,73,2401,389797,303558,35237,6237,4542,6766,8905,20612,373,35,3532,1413673,1077044,353643,25871,2715,537363,143973,13479,336629,10612,326017,216276,5377,9604,72398,1404,127493,107477,12876
40,HI,15,,,,,040C0US15,Hawaii -- In metropolitan statistical area,1149546,266166,24180,1717,469540,110647,9932,267364,9051,258313,464023,41996,24757,679427,287229,27082,1717,1235,109,0,56,0,4,319,0,25,0,18,0,0,0,45,30,0,6,0,4,0,7,12,77,223,0,0,0,0,0,32,0,4,18,16,24,7,0,0,0,12,5,182,27,74,15,25,4,14,0,16,30,308,43,469540,2107,56,0,174,413,51745,176778,58,289,157465,21347,2038,22,161,290,2011,114,175,719,1677,10370,46,474,41011,110647,62924,14694,3205,594,2691,5919,15830,139,10,507,4134,25805,18248,1088,23,1485,163,73,7926,80,306,304,717,9,58,144,149,153,108,91,0,707,88,33,43,411,721,87,67,54,56,52,120,29,112,188,918,326,41,23,0,9,183,5,1098,632,367,43,101,56,37,0,130,45,6513,813730,3925,63,0,237,819,171073,296623,58,885,265912,42796,3071,111,225,326,6505,326,236,909,3324,14041,73,2192,304801,228411,32531,5725,4034,6216,6510,18350,278,23,2723,1149546,882182,266166,24180,1717,469540,110647,9932,267364,9051,258313,171318,4481,6941,59594,1246,99056,85868,10178
40,HI,15,,,,,040C1US15,Hawaii -- In metropolitan statistical area -- in principal city,408615,74407,6322,482,213593,36183,3330,74298,3184,71114,128979,11852,7325,272649,82219,9641,482,384,81,0,24,0,0,67,0,25,0,5,0,0,0,0,11,0,6,0,0,0,0,12,0,49,0,0,0,0,0,11,0,4,11,0,8,0,0,0,0,5,0,65,0,0,0,0,0,0,0,0,24,63,11,213593,1156,53,0,126,105,35388,64412,13,150,71520,14491,679,14,108,193,628,64,52,412,502,7463,26,159,15879,36183,14665,5018,885,32,874,3158,10148,76,0,148,1179,7553,5250,375,0,595,54,0,2084,6,30,15,251,3,17,82,10,89,0,16,0,264,0,0,43,141,177,84,0,21,0,38,34,17,23,89,188,78,17,0,0,0,24,0,385,295,50,7,3,21,8,0,11,24,1934,313857,1651,60,0,158,186,71369,96665,13,401,106482,21510,1018,47,123,215,2164,132,52,513,957,9554,26,561,86227,57670,9144,1642,653,1711,3385,10984,135,13,890,408615,334317,74407,6322,482,213593,36183,3330,74298,3184,71114,48007,1360,1968,17791,336,26552,23230,3061
40,HI,15,,,,,040C2US15,Hawaii -- In metropolitan statistical area -- not in principal city,740931,191759,17858,1235,255947,74464,6602,193066,5867,187199,335044,30144,17432,406778,205010,17441,1235,851,28,0,32,0,4,252,0,0,0,13,0,0,0,45,19,0,0,0,4,0,7,0,77,174,0,0,0,0,0,21,0,0,7,16,16,7,0,0,0,7,5,117,27,74,15,25,4,14,0,16,6,245,32,255947,951,3,0,48,308,16357,112366,45,139,85945,6856,1359,8,53,97,1383,50,123,307,1175,2907,20,315,25132,74464,48259,9676,2320,562,1817,2761,5682,63,10,359,2955,18252,12998,713,23,890,109,73,5842,74,276,289,466,6,41,62,139,64,108,75,0,443,88,33,0,270,544,3,67,33,56,14,86,12,89,99,730,248,24,23,0,9,159,5,713,337,317,36,98,35,29,0,119,21,4579,499873,2274,3,0,79,633,99704,199958,45,484,159430,21286,2053,64,102,111,4341,194,184,396,2367,4487,47,1631,218574,170741,23387,4083,3381,4505,3125,7366,143,10,1833,740931,547865,191759,17858,1235,255947,74464,6602,193066,5867,187199,123311,3121,4973,41803,910,72504,62638,7117
40,HI,15,,,,,040E0US15,Hawaii -- In micropolitan statistical area,264127,87477,1691,998,67823,33326,3547,69265,1561,67704,139237,4380,7864,119516,82780,6755,998,751,44,0,0,0,1,192,0,0,10,15,0,0,0,9,0,0,42,0,24,0,0,0,147,24,0,8,17,0,0,0,25,0,9,35,0,0,17,6,0,12,10,104,17,35,3,21,4,7,0,0,0,154,41,67823,400,0,0,4,73,2900,32545,0,218,24533,1577,21,0,10,0,120,4,28,2,251,396,0,7,4734,33326,27130,778,142,67,175,2196,1815,26,12,310,675,8246,6163,443,0,288,34,12,3032,37,33,121,381,0,15,32,16,0,0,42,0,63,0,0,0,369,35,0,8,17,0,0,3,30,49,63,210,58,3,30,6,0,17,33,683,95,342,3,105,201,33,0,0,0,1646,147865,773,101,0,4,73,25831,63940,0,333,49922,4917,57,0,10,0,642,14,28,13,395,603,0,209,84996,75147,2706,512,508,550,2395,2262,95,12,809,264127,194862,87477,1691,998,67823,33326,3547,69265,1561,67704,44958,896,2663,12804,158,28437,21609,2698
40,HI,15,,,,,040E1US15,Hawaii -- In micropolitan statistical area -- in principal city,56332,12165,530,116,17534,5294,407,20286,324,19962,26986,1361,1735,32954,20845,1042,116,89,0,0,0,0,0,28,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,25,10,13,0,11,0,2,0,0,0,0,4,17534,166,0,0,0,0,891,3892,0,29,10507,456,16,0,10,0,90,0,0,0,25,203,0,0,1249,5294,3963,166,48,13,105,229,477,17,0,153,123,1797,1314,90,0,96,0,7,723,0,24,0,105,0,0,32,9,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,15,0,0,6,0,0,9,0,182,27,45,0,11,14,20,0,0,0,411,43054,259,0,0,0,0,8649,11966,0,45,19374,1889,25,0,10,0,443,0,0,0,88,263,0,43,21520,19029,521,145,126,277,292,770,44,0,316,56332,36046,12165,530,116,17534,5294,407,20286,324,19962,12863,146,525,3251,23,8918,6588,835
40,HI,15,,,,,040E2US15,Hawaii -- In micropolitan statistical area -- not in principal city,207795,75312,1161,882,50289,28032,3140,48979,1237,47742,112251,3019,6129,86562,61935,5713,882,662,44,0,0,0,1,164,0,0,10,15,0,0,0,0,0,0,42,0,24,0,0,0,139,24,0,0,17,0,0,0,25,0,9,35,0,0,15,6,0,3,10,79,7,22,3,10,4,5,0,0,0,154,37,50289,234,0,0,4,73,2009,28653,0,189,14026,1121,5,0,0,0,30,4,28,2,226,193,0,7,3485,28032,23167,612,94,54,70,1967,1338,9,12,157,552,6449,4849,353,0,192,34,5,2309,37,9,121,276,0,15,0,7,0,0,42,0,63,0,0,0,361,35,0,0,17,0,0,3,30,49,63,195,58,3,24,6,0,8,33,501,68,297,3,94,187,13,0,0,0,1235,104811,514,101,0,4,73,17182,51974,0,288,30548,3028,32,0,0,0,199,14,28,13,307,340,0,166,63476,56118,2185,367,382,273,2103,1492,51,12,493,207795,158816,75312,1161,882,50289,28032,3140,48979,1237,47742,32095,750,2138,9553,135,19519,15021,1863
40,HI,15,,,,,040H0US15,Hawaii -- Not in metropolitan statistical area,264127,87477,1691,998,67823,33326,3547,69265,1561,67704,139237,4380,7864,119516,82780,6755,998,751,44,0,0,0,1,192,0,0,10,15,0,0,0,9,0,0,42,0,24,0,0,0,147,24,0,8,17,0,0,0,25,0,9,35,0,0,17,6,0,12,10,104,17,35,3,21,4,7,0,0,0,154,41,67823,400,0,0,4,73,2900,32545,0,218,24533,1577,21,0,10,0,120,4,28,2,251,396,0,7,4734,33326,27130,778,142,67,175,2196,1815,26,12,310,675,8246,6163,443,0,288,34,12,3032,37,33,121,381,0,15,32,16,0,0,42,0,63,0,0,0,369,35,0,8,17,0,0,3,30,49,63,210,58,3,30,6,0,17,33,683,95,342,3,105,201,33,0,0,0,1646,147865,773,101,0,4,73,25831,63940,0,333,49922,4917,57,0,10,0,642,14,28,13,395,603,0,209,84996,75147,2706,512,508,550,2395,2262,95,12,809,264127,194862,87477,1691,998,67823,33326,3547,69265,1561,67704,44958,896,2663,12804,158,28437,21609,2698
50,HI,15,001,,,,05000US15001,"Hawaii County, Hawaii",193680,64255,1213,684,43217,26517,3230,54564,1191,53373,104944,3124,6455,83256,66473,5725,684,483,14,0,0,0,1,124,0,0,10,15,0,0,0,0,0,0,35,0,1,0,0,0,116,0,0,8,17,0,0,0,25,0,0,2,0,0,14,0,0,9,10,82,7,26,3,21,0,2,0,0,0,127,41,43217,245,0,0,0,61,1844,17794,0,101,17981,1315,21,0,10,0,107,4,16,0,154,316,0,0,3248,26517,20980,652,89,63,160,2177,1414,26,6,305,645,6801,5136,319,0,277,34,12,2575,37,33,121,356,0,15,32,7,0,0,35,0,33,0,0,0,338,11,0,8,17,0,0,0,25,11,54,143,23,3,18,0,0,14,33,552,67,236,3,25,180,28,0,0,0,1362,105187,477,101,0,0,61,20449,41217,0,128,37228,4033,57,0,10,0,516,14,16,0,245,478,0,157,68393,60031,2316,423,348,371,2376,1796,95,6,631,193680,139116,64255,1213,684,43217,26517,3230,54564,1191,53373,35080,759,2153,9114,148,22906,17313,2171
50,HI,15,003,,,,05000US15003,"Honolulu County, Hawaii",986999,208830,23334,1464,423405,92920,8448,228598,8180,220418,376501,39311,20951,603193,242418,24108,1464,1048,103,0,56,0,4,283,0,25,0,13,0,0,0,45,19,0,6,0,4,0,0,12,66,223,0,0,0,0,0,30,0,4,0,16,24,7,0,0,0,12,5,91,24,54,9,25,4,0,0,16,24,271,43,423405,1989,56,0,174,413,50430,147778,58,191,146360,20626,2004,22,135,281,1957,114,173,719,1497,9964,46,394,38024,92920,51008,14093,1599,435,2635,4567,14091,139,10,495,3848,21859,15191,851,23,1246,161,73,6682,23,149,263,668,3,57,144,149,142,108,91,0,562,9,12,43,382,679,45,67,54,24,39,95,29,106,124,795,297,24,23,0,0,139,5,805,536,304,37,101,56,15,0,95,39,5789,721630,3499,63,0,237,819,155977,247897,58,644,242520,40382,3008,111,199,317,6050,326,234,909,2970,13344,73,1993,258562,190550,31072,3450,3378,6021,5108,16279,259,23,2422,986999,758401,208830,23334,1464,423405,92920,8448,228598,8180,220418,147663,3804,5354,51901,1103,85501,72186,8749
50,HI,15,005,,,,05000US15005,"Kalawao County, Hawaii",91,29,0,0,22,28,2,10,0,10,31,0,0,32,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,5,28,21,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,12,10,0,0,10,1,0,0,0,0,6,0,0,0,0,8,0,0,36,29,6,0,0,0,1,0,0,0,0,91,81,29,0,0,22,28,2,10,0,10,10,0,0,2,0,8,0,0
50,HI,15,007,,,,05000US15007,"Kauai County, Hawaii",70447,23222,478,314,24606,6809,317,14701,370,14331,34293,1256,1409,36260,16307,1030,314,268,30,0,0,0,0,68,0,0,0,0,0,0,0,9,0,0,7,0,23,0,0,0,31,24,0,0,0,0,0,0,0,0,9,33,0,0,3,6,0,3,0,22,10,9,0,0,4,5,0,0,0,27,0,24606,155,0,0,4,12,1056,14751,0,117,6552,262,0,0,0,0,13,0,12,2,97,80,0,7,1486,6809,6150,126,53,4,15,19,401,0,6,5,30,1445,1027,124,0,11,0,0,457,0,0,0,25,0,0,0,9,0,0,7,0,30,0,0,0,31,24,0,0,0,0,0,3,5,38,9,67,35,0,12,6,0,3,0,131,28,106,0,80,21,5,0,0,0,284,42678,296,0,0,4,12,5382,22723,0,205,12694,884,0,0,0,0,126,0,12,13,150,125,0,52,16603,15116,390,89,160,179,19,466,0,6,178,70447,55746,23222,478,314,24606,6809,317,14701,370,14331,9878,137,510,3690,10,5531,4296,527
50,HI,15,009,,,,05000US15009,"Maui County, Hawaii",162456,57307,846,253,46113,17699,1482,38756,871,37885,87491,2685,3806,76202,44775,2972,253,187,6,0,0,0,0,36,0,0,0,5,0,0,0,0,11,0,0,0,0,0,7,0,11,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,91,3,20,6,0,0,14,0,0,6,37,0,46113,118,0,0,0,0,1315,28998,0,98,11098,721,34,0,26,9,54,0,2,0,180,398,0,80,2982,17699,11895,595,1606,159,56,1351,1739,0,0,12,286,3946,3057,237,0,239,2,0,1244,57,157,41,49,6,1,0,0,11,0,0,0,145,79,21,0,29,42,42,0,0,32,13,25,0,6,64,123,29,17,0,0,9,44,0,293,96,63,6,0,0,22,0,35,6,724,92053,426,0,0,0,0,15084,48716,0,241,23382,2413,63,0,26,9,449,0,2,0,354,689,0,199,46203,37832,1453,2275,656,195,1401,2071,19,0,301,162456,123700,57307,846,253,46113,17699,1482,38756,871,37885,23645,677,1587,7691,143,13547,13682,1429
160,HI,15,,00400,,,16000US1500400,"Ahuimanu CDP, Hawaii",8312,1918,55,45,2795,294,38,3167,69,3098,4534,114,405,5341,2250,406,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2795,14,0,0,0,0,187,282,0,0,1559,85,0,0,0,0,58,0,43,7,15,0,0,0,545,294,218,61,0,0,0,0,1,0,0,0,14,405,318,0,0,50,103,0,89,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,9,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,73,7056,41,0,0,0,0,1892,1554,0,0,2970,400,0,0,0,0,102,0,43,23,15,16,0,0,2340,2110,210,0,0,0,0,20,0,0,0,8312,5145,1918,55,45,2795,294,38,3167,69,3098,1676,0,167,679,19,811,1425,66
160,HI,15,,00550,,,16000US1500550,"Aiea CDP, Hawaii",9594,1524,6,0,5193,550,49,2272,195,2077,3179,36,71,7164,2002,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5193,0,0,0,0,0,421,1506,0,0,2721,126,0,0,0,0,19,0,0,29,0,9,0,0,362,550,221,325,0,0,0,0,4,0,0,0,0,71,44,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19,8793,0,0,0,0,0,1606,2669,0,0,3887,498,0,0,0,0,86,0,0,29,0,9,0,9,2031,1594,419,0,9,5,0,4,0,0,0,9594,7322,1524,6,0,5193,550,49,2272,195,2077,1454,22,4,547,0,881,780,38
160,HI,15,,01085,,,16000US1501085,"Ainaloa CDP, Hawaii",3102,1390,12,89,437,493,49,632,41,591,1876,12,165,885,1021,96,89,47,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18,17,437,0,0,0,0,0,23,164,0,0,186,23,0,0,0,0,0,0,0,0,0,0,0,0,41,493,487,0,0,0,0,0,6,0,0,0,0,182,129,17,0,2,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,46,1187,19,0,0,0,0,247,469,0,0,336,116,0,0,0,0,0,0,0,0,0,0,0,0,1040,999,19,0,0,0,0,6,0,0,16,3102,2470,1390,12,89,437,493,49,632,41,591,334,0,30,45,0,259,275,23
160,HI,15,,02200,,,16000US1502200,"Anahola CDP, Hawaii",1902,235,2,0,122,965,2,576,0,576,585,2,33,576,1491,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,12,59,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,14,965,905,45,4,0,2,8,0,0,0,0,1,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26,719,0,0,0,0,0,166,334,0,0,208,2,0,0,0,0,4,0,0,0,0,5,0,0,1492,1424,49,4,0,3,8,0,0,0,4,1902,1326,235,2,0,122,965,2,576,0,576,358,0,4,25,0,329,218,0
160,HI,15,,03850,,,16000US1503850,"Captain Cook CDP, Hawaii",4378,1279,0,0,1023,353,21,1702,18,1684,2532,126,296,2346,1379,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,459,0,0,326,230,0,0,0,0,0,0,0,0,8,0,0,0,0,353,353,0,0,0,0,0,0,0,0,0,0,296,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,163,0,0,0,0,126,2728,0,0,0,0,0,653,808,0,0,940,319,0,0,0,0,0,0,0,0,8,0,0,0,1415,1379,36,0,0,0,0,0,0,0,0,4378,2676,1279,0,0,1023,353,21,1702,18,1684,1064,0,43,369,0,652,580,58
160,HI,15,,05900,,,16000US1505900,"Discovery Harbour CDP, Hawaii",1128,601,2,0,105,187,4,229,7,222,737,2,86,256,357,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,68,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,7,187,187,0,0,0,0,0,0,0,0,0,0,86,84,0,0,0,0,0,36,0,9,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,311,0,0,0,0,0,76,190,0,0,32,13,0,0,0,0,0,0,0,0,0,0,0,0,357,357,0,0,0,0,0,0,0,0,0,1128,899,601,2,0,105,187,4,229,7,222,144,0,45,14,0,85,44,41
160,HI,15,,06290,,,16000US1506290,"East Honolulu CDP, Hawaii",47957,11966,342,133,23623,2359,267,9267,183,9084,19941,657,623,31490,6948,595,133,120,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,66,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,23623,113,0,0,16,14,4905,1430,0,0,12719,1416,9,0,0,0,38,7,10,70,33,296,0,16,2531,2359,1945,80,47,87,44,25,14,10,0,0,107,650,545,27,0,0,0,0,196,0,0,8,0,0,0,0,21,21,6,0,0,51,0,0,0,31,73,0,0,0,0,0,41,0,0,0,33,16,0,0,0,0,0,0,21,18,14,0,14,0,0,0,0,0,73,37032,315,0,0,16,14,10514,3590,0,97,18631,2545,102,0,0,0,212,7,18,85,198,568,0,120,7434,6464,385,111,235,139,25,25,22,0,28,47957,38690,11966,342,133,23623,2359,267,9267,183,9084,6461,193,174,3907,6,2181,2582,224
160,HI,15,,06325,,,16000US1506325,"Eden Roc CDP, Hawaii",599,263,4,0,22,176,4,130,0,130,372,4,35,84,266,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176,146,0,0,0,3,0,27,0,0,0,0,35,35,8,0,0,0,0,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,40,32,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,266,233,0,0,0,6,0,27,0,0,0,599,469,263,4,0,22,176,4,130,0,130,94,0,27,13,0,54,36,0
