SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,AL,01,,,,,04000US01,Alabama,4841164,3325037,1282053,23919,60744,2008,61991,85412,6877,78535,3400118,1320276,58977,77731,4858,69651,23919,19279,313,56,92,3,29,8651,7,92,138,3173,21,26,0,3548,0,97,26,28,307,55,52,0,832,227,0,34,0,0,83,69,0,181,0,252,42,36,0,0,0,81,6,722,555,105,60,18,4,23,0,0,29,3364,587,60744,12459,759,0,36,634,12052,5891,160,106,2048,11068,1483,98,31,336,35,1677,209,228,1387,8833,0,542,672,2008,425,181,0,124,924,102,175,0,0,45,32,61383,49638,626,120,1276,14,38,27330,14,173,232,5043,130,119,91,8434,157,118,55,159,620,139,134,33,857,411,29,77,0,19,94,75,33,489,17,547,290,51,0,0,34,87,6,1467,1851,193,73,33,64,23,0,0,69,9632,79617,14030,868,0,53,999,14500,10572,167,167,4098,13402,1962,255,56,374,62,1819,222,412,1992,9690,0,3917,5000,1394,443,0,179,1309,192,177,19,0,1287,4841164,4755752,3325037,1282053,23919,60744,2008,61991,85412,6877,78535,80704,27253,27620,11341,3752,10738,4385,323
40,AL,01,,,,,04001US01,Alabama -- Urban,2871536,1741105,970825,9174,50334,1503,44914,53681,4451,49230,1786553,997718,27182,63853,3472,49901,9174,7114,240,56,41,0,29,2958,7,28,67,701,21,6,0,986,0,2,26,24,179,17,30,0,637,99,0,0,0,0,43,27,0,151,0,203,31,14,0,0,0,14,6,471,247,41,23,18,0,0,0,0,25,1515,232,50334,11085,759,0,36,526,10229,4213,0,75,1643,8740,931,58,0,272,26,1575,209,220,1110,7625,0,453,549,1503,305,19,0,124,788,35,173,0,0,28,31,28326,22474,308,120,581,7,38,11984,8,74,140,1625,130,58,80,3451,157,19,55,155,233,17,112,0,643,279,29,0,0,19,43,27,33,381,17,350,279,29,0,0,11,20,6,956,1002,87,28,33,26,0,0,0,65,4698,65480,12335,787,0,53,838,12298,7645,0,115,3139,10597,1384,154,0,310,53,1712,222,369,1651,8251,0,3567,3601,945,181,0,162,1089,107,173,19,0,925,2871536,2817855,1741105,970825,9174,50334,1503,44914,53681,4451,49230,50497,18523,12803,8927,2662,7582,2910,274
40,AL,01,,,,,04043US01,Alabama -- Rural,1969628,1583932,311228,14745,10410,505,17077,31731,2426,29305,1613565,322558,31795,13878,1386,19750,14745,12165,73,0,51,3,0,5693,0,64,71,2472,0,20,0,2562,0,95,0,4,128,38,22,0,195,128,0,34,0,0,40,42,0,30,0,49,11,22,0,0,0,67,0,251,308,64,37,0,4,23,0,0,4,1849,355,10410,1374,0,0,0,108,1823,1678,160,31,405,2328,552,40,31,64,9,102,0,8,277,1208,0,89,123,505,120,162,0,0,136,67,2,0,0,17,1,33057,27164,318,0,695,7,0,15346,6,99,92,3418,0,61,11,4983,0,99,0,4,387,122,22,33,214,132,0,77,0,0,51,48,0,108,0,197,11,22,0,0,23,67,0,511,849,106,45,0,38,23,0,0,4,4934,14137,1695,81,0,0,161,2202,2927,167,52,959,2805,578,101,56,64,9,107,0,43,341,1439,0,350,1399,449,262,0,17,220,85,4,0,0,362,1969628,1937897,1583932,311228,14745,10410,505,17077,31731,2426,29305,30207,8730,14817,2414,1090,3156,1475,49
40,AL,01,,,,,040A0US01,Alabama -- In metropolitan or micropolitan statistical area,4392735,3023306,1148299,20737,58686,1878,59263,80566,6525,74041,3094136,1184292,53438,75177,4454,66526,20737,16750,282,56,78,3,29,8107,7,39,110,1959,21,26,0,3257,0,74,26,28,165,55,34,0,728,218,0,6,0,0,83,69,0,181,0,252,42,36,0,0,0,60,6,713,490,105,60,18,4,23,0,0,29,2896,467,58686,12297,748,0,36,592,11462,5592,160,93,1977,10677,1474,98,31,314,29,1677,209,228,1209,8610,0,501,672,1878,375,181,0,124,868,84,175,0,0,39,32,55549,44990,554,120,1215,14,38,25588,10,96,204,3778,130,119,86,7570,157,95,55,159,478,139,116,33,753,402,29,27,0,19,94,69,33,407,17,523,290,51,0,0,34,66,6,1416,1591,193,73,33,64,23,0,0,69,8706,77063,13827,857,0,53,957,13855,10076,167,154,3998,12919,1927,255,56,352,56,1819,222,401,1807,9467,0,3838,4596,1344,409,0,179,1236,174,177,19,0,1058,4392735,4312169,3023306,1148299,20737,58686,1878,59263,80566,6525,74041,76171,25678,25659,11177,3471,10186,4072,323
40,AL,01,,,,,040C0US01,Alabama -- In metropolitan statistical area,3686653,2497300,1003208,15450,54094,1168,47451,67982,5565,62417,2556714,1034325,41876,68858,3433,53705,15450,12272,198,56,42,0,29,6356,7,21,74,1795,21,26,0,1376,0,74,26,28,130,55,34,0,572,202,0,6,0,0,68,27,0,161,0,197,40,36,0,0,0,60,6,549,408,84,60,18,4,2,0,0,29,2333,324,54094,11566,703,0,36,572,10334,4986,160,93,1766,9774,1456,98,31,282,0,1586,209,212,1134,8055,0,452,589,1168,290,166,0,55,333,84,173,0,0,35,32,43437,34819,394,120,1047,11,38,20022,10,74,102,3460,130,117,86,4627,157,95,55,159,376,139,110,0,596,382,29,11,0,19,72,27,33,375,17,353,271,51,0,0,34,66,6,1148,1310,155,73,33,47,2,0,0,69,7084,70497,12978,812,0,53,926,12393,8898,167,148,3477,11639,1909,255,46,320,27,1723,222,385,1700,8877,0,3542,3563,1113,381,0,106,677,174,173,19,0,920,3686653,3618671,2497300,1003208,15450,54094,1168,47451,67982,5565,62417,64006,21966,20228,10018,2989,8805,3676,300
40,AL,01,,,,,040C1US01,Alabama -- In metropolitan statistical area -- in principal city,1389999,725493,588950,3171,29168,494,18362,24361,2226,22135,745882,601607,11179,35299,1622,20913,3171,2607,76,56,0,0,29,1318,0,4,22,133,0,6,0,217,0,0,0,7,89,0,4,0,386,35,0,0,0,0,6,0,0,53,0,19,4,0,0,0,0,0,0,143,109,18,0,18,0,0,0,0,0,401,36,29168,7423,685,0,27,196,5065,1964,0,20,1161,6618,360,34,0,170,0,731,161,147,539,3466,0,174,227,494,168,4,0,19,195,54,33,0,0,5,16,11571,9271,134,120,206,7,38,5346,0,20,45,656,0,18,75,1274,5,17,0,16,106,0,17,0,386,103,17,0,0,19,6,0,0,137,0,70,94,5,0,0,11,0,0,323,377,37,5,32,0,0,0,0,29,1857,35724,8027,691,0,44,244,5879,3429,0,63,1892,7355,461,130,0,188,0,768,161,206,695,3759,0,1732,1720,449,52,0,31,360,126,33,19,0,650,1389999,1365638,725493,588950,3171,29168,494,18362,24361,2226,22135,22419,8184,5119,4200,1370,3546,1742,200
40,AL,01,,,,,040C2US01,Alabama -- In metropolitan statistical area -- not in principal city,2296654,1771807,414258,12279,24926,674,29089,43621,3339,40282,1810832,432718,30697,33559,1811,32792,12279,9665,122,0,42,0,0,5038,7,17,52,1662,21,20,0,1159,0,74,26,21,41,55,30,0,186,167,0,6,0,0,62,27,0,108,0,178,36,36,0,0,0,60,6,406,299,66,60,0,4,2,0,0,29,1932,288,24926,4143,18,0,9,376,5269,3022,160,73,605,3156,1096,64,31,112,0,855,48,65,595,4589,0,278,362,674,122,162,0,36,138,30,140,0,0,30,16,31866,25548,260,0,841,4,0,14676,10,54,57,2804,130,99,11,3353,152,78,55,143,270,139,93,0,210,279,12,11,0,0,66,27,33,238,17,283,177,46,0,0,23,66,6,825,933,118,68,1,47,2,0,0,40,5227,34773,4951,121,0,9,682,6514,5469,167,85,1585,4284,1448,125,46,132,27,955,61,179,1005,5118,0,1810,1843,664,329,0,75,317,48,140,0,0,270,2296654,2253033,1771807,414258,12279,24926,674,29089,43621,3339,40282,41587,13782,15109,5818,1619,5259,1934,100
40,AL,01,,,,,040E0US01,Alabama -- In micropolitan statistical area,706082,526006,145091,5287,4592,710,11812,12584,960,11624,537422,149967,11562,6319,1021,12821,5287,4478,84,0,36,3,0,1751,0,18,36,164,0,0,0,1881,0,0,0,0,35,0,0,0,156,16,0,0,0,0,15,42,0,20,0,55,2,0,0,0,0,0,0,164,82,21,0,0,0,21,0,0,0,563,143,4592,731,45,0,0,20,1128,606,0,0,211,903,18,0,0,32,29,91,0,16,75,555,0,49,83,710,85,15,0,69,535,0,2,0,0,4,0,12112,10171,160,0,168,3,0,5566,0,22,102,318,0,2,0,2943,0,0,0,0,102,0,6,33,157,20,0,16,0,0,22,42,0,32,0,170,19,0,0,0,0,0,0,268,281,38,0,0,17,21,0,0,0,1622,6566,849,45,0,0,31,1462,1178,0,6,521,1280,18,0,10,32,29,96,0,16,107,590,0,296,1033,231,28,0,73,559,0,4,0,0,138,706082,693498,526006,145091,5287,4592,710,11812,12584,960,11624,12165,3712,5431,1159,482,1381,396,23
40,AL,01,,,,,040E1US01,Alabama -- In micropolitan statistical area -- in principal city,221592,140626,68803,1034,2420,555,4148,4006,450,3556,144115,70522,2660,3144,705,4615,1034,822,56,0,11,0,0,310,0,18,0,55,0,0,0,193,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,42,0,0,0,38,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,169,43,2420,224,45,0,0,17,882,128,0,0,52,623,18,0,0,0,26,20,0,16,33,296,0,11,29,555,34,0,0,67,454,0,0,0,0,0,0,2866,2394,62,0,34,0,0,1377,0,18,50,69,0,0,0,497,0,0,0,0,29,0,0,0,0,0,0,0,0,0,5,42,0,0,0,91,16,0,0,0,0,0,0,104,110,0,0,0,0,0,0,0,0,362,3210,275,45,0,0,28,991,312,0,6,154,875,18,0,0,0,26,20,0,16,33,296,0,115,713,125,0,0,67,476,0,0,0,0,45,221592,217586,140626,68803,1034,2420,555,4148,4006,450,3556,3856,1207,1240,582,190,637,137,13
40,AL,01,,,,,040E2US01,Alabama -- In micropolitan statistical area -- not in principal city,484490,385380,76288,4253,2172,155,7664,8578,510,8068,393307,79445,8902,3175,316,8206,4253,3656,28,0,25,3,0,1441,0,0,36,109,0,0,0,1688,0,0,0,0,19,0,0,0,156,16,0,0,0,0,10,0,0,20,0,17,2,0,0,0,0,0,0,86,82,21,0,0,0,21,0,0,0,394,100,2172,507,0,0,0,3,246,478,0,0,159,280,0,0,0,32,3,71,0,0,42,259,0,38,54,155,51,15,0,2,81,0,2,0,0,4,0,9246,7777,98,0,134,3,0,4189,0,4,52,249,0,2,0,2446,0,0,0,0,73,0,6,33,157,20,0,16,0,0,17,0,0,32,0,79,3,0,0,0,0,0,0,164,171,38,0,0,17,21,0,0,0,1260,3356,574,0,0,0,3,471,866,0,0,367,405,0,0,10,32,3,76,0,0,74,294,0,181,320,106,28,0,6,83,0,4,0,0,93,484490,475912,385380,76288,4253,2172,155,7664,8578,510,8068,8309,2505,4191,577,292,744,259,10
40,AL,01,,,,,040G0US01,Alabama -- Not in metropolitan or micropolitan statistical area,448429,301731,133754,3182,2058,130,2728,4846,352,4494,305982,135984,5539,2554,404,3125,3182,2529,31,0,14,0,0,544,0,53,28,1214,0,0,0,291,0,23,0,0,142,0,18,0,104,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,65,0,0,0,0,0,0,0,0,468,120,2058,162,11,0,0,42,590,299,0,13,71,391,9,0,0,22,6,0,0,0,178,223,0,41,0,130,50,0,0,0,56,18,0,0,0,6,0,5834,4648,72,0,61,0,0,1742,4,77,28,1265,0,0,5,864,0,23,0,0,142,0,18,0,104,9,0,50,0,0,0,6,0,82,0,24,0,0,0,0,0,21,0,51,260,0,0,0,0,0,0,0,0,926,2554,203,11,0,0,42,645,496,0,13,100,483,35,0,0,22,6,0,0,11,185,223,0,79,404,50,34,0,0,73,18,0,0,0,229,448429,443583,301731,133754,3182,2058,130,2728,4846,352,4494,4533,1575,1961,164,281,552,313,0
40,AL,01,,,,,040H0US01,Alabama -- Not in metropolitan statistical area,1154511,827737,278845,8469,6650,840,14540,17430,1312,16118,843404,285951,17101,8873,1425,15946,8469,7007,115,0,50,3,0,2295,0,71,64,1378,0,0,0,2172,0,23,0,0,177,0,18,0,260,25,0,28,0,0,15,42,0,20,0,55,2,0,0,0,0,21,0,173,147,21,0,0,0,21,0,0,0,1031,263,6650,893,56,0,0,62,1718,905,0,13,282,1294,27,0,0,54,35,91,0,16,253,778,0,90,83,840,135,15,0,69,591,18,2,0,0,10,0,17946,14819,232,0,229,3,0,7308,4,99,130,1583,0,2,5,3807,0,23,0,0,244,0,24,33,261,29,0,66,0,0,22,48,0,114,0,194,19,0,0,0,0,21,0,319,541,38,0,0,17,21,0,0,0,2548,9120,1052,56,0,0,73,2107,1674,0,19,621,1763,53,0,10,54,35,96,0,27,292,813,0,375,1437,281,62,0,73,632,18,4,0,0,367,1154511,1137081,827737,278845,8469,6650,840,14540,17430,1312,16118,16698,5287,7392,1323,763,1933,709,23
50,AL,01,001,,,,05000US01001,"Autauga County, Alabama",55049,42311,10196,226,444,31,764,1077,70,1007,43314,10615,475,767,121,834,226,221,0,0,0,0,0,99,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,164,55,0,0,13,0,0,0,0,0,0,0,0,0,18,170,0,24,0,31,0,0,0,0,31,0,0,0,0,0,0,499,457,0,0,0,0,0,221,0,19,0,16,0,13,0,68,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,24,19,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37,767,0,0,0,0,0,164,277,0,0,23,83,0,0,0,0,0,0,0,0,26,170,0,24,121,0,21,0,0,87,0,0,0,0,13,55049,53972,42311,10196,226,444,31,764,1077,70,1007,1077,419,230,268,0,160,0,0
50,AL,01,003,,,,05000US01003,"Baldwin County, Alabama",199510,172441,18594,1355,1338,0,1766,4016,908,3108,175775,19821,2749,2509,54,2691,1355,1202,0,0,0,0,0,221,0,3,0,54,0,0,0,675,0,0,26,0,0,0,6,0,68,32,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,0,91,4,0,0,0,0,0,0,0,4,145,0,1338,129,0,0,0,0,563,214,0,0,70,91,0,0,0,0,0,0,0,0,0,267,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2859,2571,37,0,348,0,0,414,0,3,5,140,0,0,0,1027,0,0,26,9,10,0,6,0,68,32,0,5,0,0,16,0,0,0,0,93,0,0,0,0,0,0,0,332,51,8,8,0,0,0,0,0,4,225,2798,381,0,0,17,0,744,387,0,0,177,121,0,4,0,0,0,0,0,0,102,281,0,584,54,0,0,0,0,0,0,0,0,0,54,199510,195494,172441,18594,1355,1338,0,1766,4016,908,3108,3955,1083,1294,606,56,916,49,12
50,AL,01,005,,,,05000US01005,"Barbour County, Alabama",26614,12430,12756,46,129,0,1099,154,6,148,12566,12821,118,158,0,1105,46,21,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,129,11,45,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,82,0,0,0,0,0,77,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,158,11,45,0,0,0,0,1,0,0,0,43,0,0,0,0,0,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26614,26460,12430,12756,46,129,0,1099,154,6,148,154,47,65,24,7,11,0,0
50,AL,01,007,,,,05000US01007,"Bibb County, Alabama",22572,17370,4788,81,14,0,8,311,0,311,17666,5032,148,29,0,8,81,73,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,124,0,0,0,0,0,119,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22572,22261,17370,4788,81,14,0,8,311,0,311,311,229,67,0,0,15,0,0
50,AL,01,009,,,,05000US01009,"Blount County, Alabama",57704,55073,905,201,92,0,501,932,28,904,55971,1180,701,267,32,538,201,171,31,0,0,0,0,52,0,0,0,42,0,20,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,92,2,0,0,0,0,25,19,0,0,0,29,0,0,0,14,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,727,488,45,0,0,0,0,278,0,0,0,81,0,34,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0,0,0,0,0,0,0,0,209,283,22,0,0,0,0,41,50,0,0,2,29,0,0,0,14,0,0,0,24,1,0,0,100,32,3,0,0,0,0,0,0,0,0,29,57704,56772,55073,905,201,92,0,501,932,28,904,882,253,462,110,0,57,47,3
50,AL,01,011,,,,05000US01011,"Bullock County, Alabama",10552,2301,7967,84,84,0,1,115,0,115,2416,7967,199,84,0,1,84,20,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,84,15,0,0,0,0,46,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,263,4,0,5,0,0,75,0,0,0,0,0,0,5,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,15,0,0,0,0,46,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10552,10437,2301,7967,84,84,0,1,115,0,115,115,0,115,0,0,0,0,0
50,AL,01,013,,,,05000US01013,"Butler County, Alabama",20280,10876,8875,15,203,0,44,267,0,267,11112,9024,124,243,0,44,15,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,203,28,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,102,0,0,0,0,0,93,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,243,45,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20280,20013,10876,8875,15,203,0,44,267,0,267,267,118,101,17,8,23,0,0
50,AL,01,015,,,,05000US01015,"Calhoun County, Alabama",115883,86777,23791,382,1079,6,1221,2627,133,2494,89178,25273,1443,1475,75,1370,382,185,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,4,0,0,0,0,193,0,1079,127,0,0,0,19,110,172,0,0,40,286,0,0,0,0,0,26,0,0,154,145,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1443,1030,2,0,23,0,0,672,0,0,0,0,0,0,0,278,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,6,0,52,4,0,0,4,0,0,0,0,357,1475,130,0,0,0,19,283,284,0,0,74,314,0,0,0,0,0,26,0,0,154,145,0,46,75,0,29,0,0,0,0,0,0,0,46,115883,113256,86777,23791,382,1079,6,1221,2627,133,2494,2406,1174,797,146,59,230,138,83
50,AL,01,017,,,,05000US01017,"Chambers County, Alabama",34018,19417,13779,78,312,0,42,390,18,372,19789,14055,172,332,0,60,78,78,0,0,0,0,0,32,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,312,66,0,0,0,0,0,4,0,0,1,226,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,174,111,0,0,0,0,0,63,0,18,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,63,338,68,0,0,0,0,6,4,0,6,1,226,0,0,0,0,0,0,0,0,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,34018,33628,19417,13779,78,312,0,42,390,18,372,390,276,94,2,0,18,0,0
50,AL,01,019,,,,05000US01019,"Cherokee County, Alabama",25897,24156,1209,152,109,0,2,269,6,263,24408,1305,330,113,2,8,152,147,0,0,0,0,0,95,0,0,0,34,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,109,23,0,0,0,0,21,9,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,330,287,0,0,0,0,0,223,0,0,0,34,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,28,113,23,0,0,0,0,21,11,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,39,2,0,0,0,0,0,0,0,0,0,2,25897,25628,24156,1209,152,109,0,2,269,6,263,269,83,169,0,7,10,0,0
50,AL,01,021,,,,05000US01021,"Chilton County, Alabama",43817,36740,4418,134,191,0,1882,452,20,432,37178,4654,398,224,0,1902,134,101,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,7,191,0,0,0,0,0,0,184,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,198,25,0,0,0,0,149,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,157,224,0,0,0,0,0,6,184,0,0,3,0,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,43817,43365,36740,4418,134,191,0,1882,452,20,432,365,135,173,33,4,20,87,0
50,AL,01,023,,,,05000US01023,"Choctaw County, Alabama",13287,7495,5658,2,6,0,2,124,0,124,7601,5738,94,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,49,0,0,0,0,0,27,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13287,13163,7495,5658,2,6,0,2,124,0,124,92,30,42,2,18,0,32,0
50,AL,01,025,,,,05000US01025,"Clarke County, Alabama",24847,13253,11304,8,114,33,0,135,3,132,13347,11436,49,114,33,3,8,8,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,40,0,0,0,0,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,45,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,40,0,0,0,0,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,24847,24712,13253,11304,8,114,33,0,135,3,132,135,91,0,0,41,3,0,0
